PopID	CrossNum	Rack	Pos	Barcode	Origin	Exp	Trt	Indiv	LfCount1	LfLgth1	LfWdth1	comments	Yellow	Death	DeathDay	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	FlrHeadCount	CrownDiam.mm	ShootMass.g	MsrHarvest2	LfCount2	LfLgth2	LfWdth2	BoltDate	SLAmass.g	SLAarea	SLAdate	BoltDay	MsrHarvest3	comment	FlwrDate	FlwrCol	HBoltHt2	HarvNotes	HarvestDay	HBoltHt3	FlwrNote	sla	Crown.mmA	Mass.gA	Wilt	TotWilt	WiltDay	TotWiltDay	Float	YellowDay	FloatDay	Latitude	Longitude	lxw	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv
1	BG001	1	19	45	BG001-1-1	nat	ass map	control	1	17	11.1	3.2		NA	NA	NA	0	0	0	y	1	18.5	18.5	126	0.8	3.035	2010-10-21	6	12	3.4	8/9/2010	NA	NA	NA	13	NA	BLT 17.0	9/3/2010	light purple	NA	LIGHT PURPLE	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	35.52	29M	29	M	25L	25	L
2	BG001	1	11	14	BG001-1-2	nat	mat fx	nut def	2	16	13.8	4.2	NA	8/1/2010	NA	NA	22	17.5	3.8	n	NA	NA	NA	NA	0.9	2.292	2010-10-13	21	13.6	4.3		0.057	9.53	10/13/2010	NA	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	57.96	29M	29	M	25L	25	L
3	BG001	10	10	10	BG001-10-2	nat	mat fx	flood	2	11	17.7	4.2		8/3/2010	8/9/2010	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8/7/2010	7	11	43.3819444444444	28.4575	74.34	25L	25	L	17O	17	O
4	BG001	10	10	50	BG001-10-3	nat	mat fx	flood	3	13	17.1	3.5		8/3/2010	8/9/2010	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		7	NA	43.3819444444444	28.4575	59.85	25L	25	L	17O	17	O
5	BG001	11	20	38	BG001-11-2	nat	ass map	control	2	13	10.5	3		NA	NA	NA	0	0	0	y	1	32.5	32.5	134	0.8	5.231	2010-10-21	19	18.4	3.9	9/16/2010	NA	NA	10/15/2010	51	NA				NA		86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	31.5	25L	25	L	22O	22	O
6	BG001	14	5	1	BG001-14-3	nat	mat fx	allo	3	17	12.5	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.6	0.63	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	41.25	25N	25	N	17O	17	O
7	BG001	14	6	1	BG001-14-2	nat	mat fx	control	2	17	13.6	3.5	NA	NA	NA	NA	15	18.7	3.2	y	1	19.5	19.5	NA	1.2	4.193	2010-10-19	19	13.7	3.8	10/8/2010	0.117	18.685	10/19/2010	73	NA				NA		84	NA	NA	159.700854700855	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	47.6	25N	25	N	17O	17	O
8	BG001	14	17	8	BG001-14-1	nat	ass map	control	1	16	12.9	3		NA	NA	NA	0	0	0	y	1	16	16	90	0.6	2.436	2010-10-20	9	12.7	3.4	8/27/2010	NA	NA	NA	31	NA	BOLT NINEPONE	9/30/2010	light purple	NA	LIGHT PRPL FLRS	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	38.7	25N	25	N	17O	17	O
9	BG001	16	13	40	BG001-16-1	nat	ass map	control	1	17	11.6	2.7		NA	NA	NA	14	22.3	2.8	y	1	5	5	NA	1	3.229	2010-10-21	33	16.3	3	10/8/2010	0.127	24.108	10/15/2010	73	NA				NA		86	NA	NA	189.826771653543	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	31.32	17K	17	K	25N	25	N
10	BG001	17	16	18	BG001-17-4	nat	ass map	control	4	18	10.6	2.5		NA	NA	NA	30	24.9	6.1	n	NA	NA	NA	0	1.2	4.047	2010-10-15	20	19.3	3.6		0.169	22.737	10/13/2010	NA	NA				NA		80	NA	NA	134.538461538462	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.3819444444444	28.4575	26.5	17K	17	K	16N	16	N
