PopID	CrossNum	Barcode	Indiv	Origin	Exp	Trt	Rack	Pos	Crown.mmA	Mass.gA	LfCount1	LfLgth1	LfWdth1	PopCross	Latitude	Longitude	lxw	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv
1	BG001	14	BG001-14-3	3	nat	mat fx	allo	5	1	4.6	0.63	17	12.5	3.3	BG001 14	43.3819444444444	28.4575	41.25	25N	25	N	17O	17	O
2	BG001	17	BG001-17-7	7	nat	mat fx	allo	5	34	4.6	0.63	14	11.7	3.7	BG001 17	43.3819444444444	28.4575	43.29	17K	17	K	16N	16	N
3	BG001	18	BG001-18-2	2	nat	mat fx	allo	5	49	6.5	0.94	17	12.3	3.5	BG001 18	43.3819444444444	28.4575	43.05	16A	16	A	25N	25	N
4	CA001	11	CA001-11-10	10	inv	mat fx	allo	5	38	4.7	0.91	11	13.8	2.8	CA001 11	49.0149388888889	-122.882097222222	38.64	3N	3	N	2M	2	M
5	CA001	2	CA001-2-1	1	inv	mat fx	allo	5	47	4.7	1.68	15	12.9	4	CA001 2	49.0149388888889	-122.882097222222	51.6	3O	3	O	7L	7	L
6	CA001	5	CA001-5-16	16	inv	mat fx	allo	5	43	5	1.45	11	19.5	4.7	CA001 5	49.0149388888889	-122.882097222222	91.65	3O	3	O	3N	3	N
7	GR002	1	GR002-1-3	3	nat	mat fx	allo	5	27	5.2	0.81	12	19.7	3.4	GR002 1	40.6213888888889	23.0786111111111	66.98	25L	25	L	17M	17	M
8	GR002	9	GR002-9-3	3	nat	mat fx	allo	5	32	4.7	0.88	16	15.9	3.4	GR002 9	40.6213888888889	23.0786111111111	54.06	25K	25	K	13K	13	K
9	GR002	9	GR002-9-1	1	nat	mat fx	allo	5	7	5	0.92	14	14.5	3	GR002 9	40.6213888888889	23.0786111111111	43.5	25K	25	K	13K	13	K
10	RU008	3	RU008-3-1	1	nat	mat fx	allo	5	21	5.1	0.96	15	15	3.8	RU008 3	44.05	43.06000278	57	17K	17	K	21M	21	M
11	RU008	8	RU008-8-6	6	nat	mat fx	allo	5	29	5.1	1.15	13	19.4	4.6	RU008 8	44.05	43.06000278	89.24	21M	21	M	17K	17	K
12	TR001	10	TR001-10-2	2	nat	mat fx	allo	5	40	5.2	0.95	14	7.9	3.6	TR001 10	41.7511111111111	27.2477777777778	28.44	29K	29	K	1K	1	K
13	TR001	6	TR001-6-2	2	nat	mat fx	allo	5	20	5.4	0.99	16	15	3.6	TR001 6	41.7511111111111	27.2477777777778	54	12K	12	K	1K	1	K
14	TR001	9	TR001-9-20	20	nat	mat fx	allo	5	36	4.2	0.8	16	17.1	5	TR001 9	41.7511111111111	27.2477777777778	85.5	29K	29	K	12M	12	M
15	US001	10	US001-10-2	2	inv	mat fx	allo	5	5	4.3	0.96	12	19.5	3.5	US001 10	45.6152333333333	-120.787533333333	68.25	20L	20	L	5L	5	L
16	US001	5	US001-5-2	2	inv	mat fx	allo	5	41	3.6	0.95	14	18.5	3	US001 5	45.6152333333333	-120.787533333333	55.5	22M	22	M	20M	20	M
17	US001	7	US001-7-1	1	inv	mat fx	allo	5	45	4.2	1.01	18	18.3	4.8	US001 7	45.6152333333333	-120.787533333333	87.84	23N	23	N	23D	23	D
18	US002	3	US002-3-2	2	inv	mat fx	allo	5	23	5.8	1.54	13	20.5	5.2	US002 3	46.1822666666667	-118.82615	106.6	22K	22	K	5K	5	K
19	US002	5	US002-5-12	12	inv	mat fx	allo	5	3	5.8	1.27	19	13	3.3	US002 5	46.1822666666667	-118.82615	42.9	22L	22	L	1M	1	M
20	US002	6	US002-6-3	3	inv	mat fx	allo	5	16	5.3	0.84	17	13.9	3.1	US002 6	46.1822666666667	-118.82615	43.09	24K	24	K	5K	5	K
21	US003	13	US003-13-7	7	inv	mat fx	allo	5	12	5.8	1.42	14	21.5	6	US003 13	46.60415	-116.64175	129	28L	28	L	6K	6	K
22	US003	14	US003-14-6	6	inv	mat fx	allo	5	50	4.6	1.38	12	19	5.4	US003 14	46.60415	-116.64175	102.6	28L	28	L	27M	27	M
23	US003	9	US003-9-2	2	inv	mat fx	allo	5	10	4.4	1.48	15	21.2	4	US003 9	46.60415	-116.64175	84.8	27M	27	M	20K	20	K
