Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Wilt	TotWilt	Yellow	Death	Float	Note	BoltDate	FlwrDate	FlwrCol	FlwrNote	BoltMsrDate	BoltCount1	MaxBoltHt1	OtherBoltHt1	BoltMsr	BoltCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BoltCount3	MaxBoltHt3	OtherBoltHt3
BG001-10-1	14	47	BG001-10-1	BG001	10	1	nat	array	dna							8/9/2010	9/10/2010	purple		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-10-2	10	10	BG001-10-2	BG001	10	2	nat	mat fx	flood			8/3/2010	8/9/2010	8/7/2010						NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-10-3	10	50	BG001-10-3	BG001	10	3	nat	mat fx	flood			8/3/2010	8/9/2010							NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-1-1	19	45	BG001-1-1	BG001	1	1	nat	ass map	control							8/9/2010	9/3/2010	light purple		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-11-1	1	16	BG001-11-1	BG001	11	1	nat	array	control 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-11-2	20	38	BG001-11-2	BG001	11	2	nat	ass map	control							9/16/2010				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-11-3	4	29	BG001-11-3	BG001	11	3	nat	array	drought 3											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-1-2	11	14	BG001-1-2	BG001	1	2	nat	mat fx	nut def			8/1/2010								NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-13-1	3	32	BG001-13-1	BG001	13	1	nat	array	drought 2											NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BG001-14-1	17	8	BG001-14-1	BG001	14	1	nat	ass map	control							8/27/2010	9/30/2010	light purple		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
