PopID	Barcode	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount1	LfLgth1	LfWdth1	comments	defense	Round	TrayPos	Eaten.mm	Rem.pro	MostEat	EatDiffI.N	MostEat.Scan	eat.bin	def.ro.tray.or	Eaten.log	Latitude	Longitude
1	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 1	5	68	0.77891625	0.975	NA	0.46734975	inv	0	Induced 1 5 68 nat	0.576004330565985	43.3819444444444	28.4575
2	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	const	6	82	NA	NA	nat	NA	nat	1	const 6 82 nat	NA	43.3819444444444	28.4575
3	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 1	4	48	2.27443545	0.927	inv	4.76696745	inv	0	Induced 1 4 48 nat	1.1861454725484	43.3819444444444	28.4575
4	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 2	6	81	0	1	inv	0.618596625	inv	0	Induced 2 6 81 nat	0	43.3819444444444	28.4575
5	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 3	2	29	1.303365837	0.958	nat	2.420536553	inv	0	Induced 3 2 29 nat	0.834371460589326	43.3819444444444	28.4575
6	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	const	4	50	NA	NA	nat	NA	nat	1	const 4 50 nat	NA	43.3819444444444	28.4575
7	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 2	5	68	0.103099437	0.997	NA	-0.103099437	nat	1	Induced 2 5 68 nat	0.0981238876132301	43.3819444444444	28.4575
8	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 1	3	36	2.7417852	0.912	NA	-1.246266	nat	1	Induced 1 3 36 nat	1.31956282374574	43.3819444444444	28.4575
9	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 2	1	11	0.3299182	0.989	NA	2.041368862	inv	0	Induced 2 1 11 nat	0.28511743658283	43.3819444444444	28.4575
10	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 2	2	19	0.732006006	0.977	NA	3.144532842	inv	0	Induced 2 2 19 nat	0.549280277801668	43.3819444444444	28.4575
11	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	const	3	29	NA	NA	inv	NA	inv	0	const 3 29 nat	NA	43.3819444444444	28.4575
12	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 3	1	5	2.141243875	0.931	nat	-0.37239024	nat	1	Induced 3 1 5 nat	1.14461886001304	43.3819444444444	28.4575
13	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	const	1	7	NA	NA	nat	NA	nat	1	const 1 7 nat	NA	43.3819444444444	28.4575
14	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 3	6	79	8.875300697	0.715	nat	-7.685720767	nat	1	Induced 3 6 79 nat	2.2900367606527	43.3819444444444	28.4575
15	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 1	2	18	1.4332059	0.954	inv	6.32479995	inv	0	Induced 1 2 18 nat	0.889209688251873	43.3819444444444	28.4575
16	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	const	5	71	NA	NA	inv	NA	inv	0	const 5 71 nat	NA	43.3819444444444	28.4575
17	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 3	3	33	3.517018924	0.887	nat	-3.072219472	nat	1	Induced 3 3 33 nat	1.50785224617	43.3819444444444	28.4575
18	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	Induced 3	5	64	3.320479631	0.893	NA	2.317094821	inv	0	Induced 3 5 64 nat	1.46336642178757	43.3819444444444	28.4575
19	BG001	BG001-17-2	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	NA	const	2	27	NA	NA	NA	NA	tie	3	const 2 27 nat	NA	43.3819444444444	28.4575
20	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 1	1	3	6.7921497	0.782	nat	-2.77294185	nat	1	Induced 1 1 3 nat	2.05311677816801	43.3819444444444	28.4575
21	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 2	1	1	1.299052912	0.958	inv	14.80507922	inv	0	Induced 2 1 1 nat	0.832497260740209	43.3819444444444	28.4575
22	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 1	5	71	3.4895448	0.888	NA	1.6824591	inv	0	Induced 1 5 71 nat	1.50175131576845	43.3819444444444	28.4575
23	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 2	5	70	9.49545819	0.695	nat	-9.49545819	nat	1	Induced 2 5 70 nat	2.35094261025197	43.3819444444444	28.4575
24	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 3	3	35	0	1	nat	1.055105677	inv	0	Induced 3 3 35 nat	0	43.3819444444444	28.4575
25	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	const	6	85	NA	NA	nat	NA	nat	1	const 6 85 nat	NA	43.3819444444444	28.4575
26	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 3	5	66	3.527363098	0.887	inv	5.534132719	inv	0	Induced 3 5 66 nat	1.51013967243863	43.3819444444444	28.4575
27	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 3	2	26	7.468493127	0.76	nat	-3.154972858	nat	1	Induced 3 2 26 nat	2.1363525857528	43.3819444444444	28.4575
28	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 2	2	22	2.525936218	0.919	inv	5.856048047	inv	0	Induced 2 2 22 nat	1.26014599475932	43.3819444444444	28.4575
29	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 3	1	2	4.530747908	0.855	nat	-4.220422709	nat	1	Induced 3 1 2 nat	1.71032305195901	43.3819444444444	28.4575
30	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	const	1	5	NA	NA	NA	NA	tie	3	const 1 5 nat	NA	43.3819444444444	28.4575
31	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 1	4	56	7.1037162	0.772	NA	-5.4835704	nat	1	Induced 1 4 56 nat	2.09232274658984	43.3819444444444	28.4575
32	BG001	BG001-3-1	3	1	nat	mat fx	cut	8	50	14	15	4.7	NA	Induced 2	3	30	9.773826671	0.686	nat	-9.196469821	nat	1	Induced 2 3 30 nat	2.37711973641778	43.3819444444444	28.4575
