defense	Round	TrayPos	LPopID	Lbarcode	LCrossNum	Lindiv	Lorigin	Leaten.mm	Lrem.pro	RPopID	Rbarcode	RCrossNum	Rindiv	Rorigin	Reaten.mm	Rrem.pro	MostEat	EatDiffI.N	MostEat.Scan	eat.bin
const 1 1	const	1	1	US001	US001-7-7	NA	NA	inv	NA	NA	NA	SAND-2-7	NA	NA	SK	NA	NA	NA	NA	tie	3
const 1 2	const	1	2	US003	US003-11-1	NA	NA	inv	NA	NA	NA	BG001-8-5	NA	NA	nat	NA	NA	nat	NA	nat	1
const 1 3	const	1	3	US002	US002-3-25	NA	NA	inv	NA	NA	NA	GR002-5-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 1 4	const	1	4	SAND	SAND-2-7	NA	NA	SK	NA	NA	NA	TR001-10-4	NA	NA	nat	NA	NA	sk	NA	sk	2
const 1 5	const	1	5	US003	US003-16-2	NA	NA	inv	NA	NA	NA	BG001-3-1	NA	NA	nat	NA	NA	NA	NA	tie	3
const 1 6	const	1	6	US001	US001-2-6	NA	NA	inv	NA	NA	NA	RU008-8-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 1 7	const	1	7	US003	US003-16-14	NA	NA	inv	NA	NA	NA	BG001-17-2	NA	NA	nat	NA	NA	nat	NA	nat	1
const 1 8	const	1	8	CA001	CA001-11-1	NA	NA	inv	NA	NA	NA	TR001-6-7	NA	NA	nat	NA	NA	inv	NA	inv	0
const 1 9	const	1	9	CA001	CA001-6-2	NA	NA	inv	NA	NA	NA	GR002-3-3	NA	NA	nat	NA	NA	nat	NA	nat	1
const 1 10	const	1	10	US001	US001-12-2	NA	NA	inv	NA	NA	NA	GR002-3-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 1 11	const	1	11	US002	US002-3-6	NA	NA	inv	NA	NA	NA	TR001-2-1	NA	NA	nat	NA	NA	NA	NA	tie	3
const 1 12	const	1	12	US002	US002-5-2	NA	NA	inv	NA	NA	NA	RU008-8-4	NA	NA	nat	NA	NA	inv	NA	inv	0
const 1 13	const	1	13	CA001	CA001-15-4	NA	NA	inv	NA	NA	NA	RU008-2-1	NA	NA	nat	NA	NA	NA	NA	tie	3
const 2 14	const	2	14		US001-7-7	NA	NA	inv	NA	NA	NA	RU008-2-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 2 15	const	2	15		US003-11-1	NA	NA	inv	NA	NA	NA	RU008-8-4	NA	NA	nat	NA	NA	nat	NA	nat	1
const 2 16	const	2	16		US002-3-25	NA	NA	inv	NA	NA	NA	SAND-2-2	NA	NA	SK	NA	NA	NA	NA	tie	3
const 2 17	const	2	17		SAND-2-7	NA	NA	SK	NA	NA	NA	GR002-3-3	NA	NA	nat	NA	NA	nat	NA	nat	1
const 2 18	const	2	18		US003-16-2	NA	NA	inv	NA	NA	NA	TR001-10-4	NA	NA	nat	NA	NA	inv	NA	inv	0
const 2 19	const	2	19		US001-2-6	NA	NA	inv	NA	NA	NA	TR001-2-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 2 20	const	2	20		US003-16-14	NA	NA	inv	NA	NA	NA	BG001-8-5	NA	NA	nat	NA	NA	nat	NA	nat	1
const 2 21	const	2	21		SAND-1-5	NA	NA	SK	NA	NA	NA	GR002-3-1	NA	NA	nat	NA	NA	NA	NA	tie	3
const 2 22	const	2	22		CA001-11-1	NA	NA	inv	NA	NA	NA	SAND-1-5	NA	NA	SK	NA	NA	inv	NA	inv	0
const 2 23	const	2	23		SAND-2-2	NA	NA	SK	NA	NA	NA	TR001-6-7	NA	NA	nat	NA	NA	sk	NA	sk	2
const 2 24	const	2	24		CA001-6-2	NA	NA	inv	NA	NA	NA	GR002-5-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 2 25	const	2	25		US001-12-2	NA	NA	inv	NA	NA	NA	SAND-2-7	NA	NA	SK	NA	NA	inv	NA	inv	0
const 2 26	const	2	26		US002-3-6	NA	NA	inv	NA	NA	NA	BG001-3-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 2 27	const	2	27		US002-5-2	NA	NA	inv	NA	NA	NA	BG001-17-2	NA	NA	nat	NA	NA	NA	NA	tie	3
const 2 28	const	2	28		CA001-15-4	NA	NA	inv	NA	NA	NA	RU008-8-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 3 29	const	3	29		US001-7-7	NA	NA	inv	NA	NA	NA	BG001-17-2	NA	NA	nat	NA	NA	inv	NA	inv	0
const 3 30	const	3	30		US003-11-1	NA	NA	inv	NA	NA	NA	RU008-8-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 3 31	const	3	31		US002-3-25	NA	NA	inv	NA	NA	NA	BG001-3-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 3 32	const	3	32		SAND-2-7	NA	NA	SK	NA	NA	NA	RU008-8-4	NA	NA	nat	NA	NA	nat	NA	nat	1
const 3 33	const	3	33		US003-16-2	NA	NA	inv	NA	NA	NA	TR001-6-7	NA	NA	nat	NA	NA	inv	NA	inv	0
const 3 34	const	3	34		US001-2-6	NA	NA	inv	NA	NA	NA	TR001-2-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 3 35	const	3	35		US003-16-14	NA	NA	inv	NA	NA	NA	SAND-2-7	NA	NA	SK	NA	NA	sk	NA	sk	2
const 3 36	const	3	36		SAND-1-5	NA	NA	SK	NA	NA	NA	GR002-3-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 3 37	const	3	37		CA001-11-1	NA	NA	inv	NA	NA	NA	GR002-3-3	NA	NA	nat	NA	NA	nat	NA	nat	1
const 3 38	const	3	38		SAND-2-2	NA	NA	SK	NA	NA	NA	TR001-10-4	NA	NA	nat	NA	NA	sk	NA	sk	2
const 3 39	const	3	39		CA001-6-2	NA	NA	inv	NA	NA	NA	BG001-8-5	NA	NA	nat	NA	NA	nat	NA	nat	1
const 3 40	const	3	40		US001-12-2	NA	NA	inv	NA	NA	NA	GR002-5-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 3 41	const	3	41		US002-3-6	NA	NA	inv	NA	NA	NA	RU008-2-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 3 42	const	3	42		US002-5-2	NA	NA	inv	NA	NA	NA	SAND-2-2	NA	NA	SK	NA	NA	inv	NA	inv	0
const 3 43	const	3	43		CA001-15-4	NA	NA	inv	NA	NA	NA	SAND-1-5	NA	NA	SK	NA	NA	sk	NA	sk	2
const 4 44	const	4	44		US001-7-7	NA	NA	inv	NA	NA	NA	SAND-1-5	NA	NA	SK	NA	NA	sk	NA	sk	2
const 4 45	const	4	45		US003-11-1	NA	NA	inv	NA	NA	NA	BG001-3-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 4 46	const	4	46		US002-3-25	NA	NA	inv	NA	NA	NA	GR002-3-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 4 47	const	4	47		SAND-2-7	NA	NA	SK	NA	NA	NA	RU008-8-4	NA	NA	nat	NA	NA	sk	NA	sk	2
const 4 48	const	4	48		US003-16-2	NA	NA	inv	NA	NA	NA	TR001-10-4	NA	NA	nat	NA	NA	nat	NA	nat	1
const 4 49	const	4	49		US001-2-6	NA	NA	inv	NA	NA	NA	RU008-8-1	NA	NA	nat	NA	NA	NA	NA	tie	3
const 4 50	const	4	50		US003-16-14	NA	NA	inv	NA	NA	NA	BG001-17-2	NA	NA	nat	NA	NA	nat	NA	nat	1
const 4 51	const	4	51		SAND-1-5	NA	NA	SK	NA	NA	NA	BG001-8-5	NA	NA	nat	NA	NA	nat	NA	nat	1
const 4 52	const	4	52		CA001-11-1	NA	NA	inv	NA	NA	NA	SAND-2-2	NA	NA	SK	NA	NA	sk	NA	sk	2
const 4 53	const	4	53		CA001-6-2	NA	NA	inv	NA	NA	NA	GR002-3-3	NA	NA	nat	NA	NA	nat	NA	nat	1
const 4 54	const	4	54		US001-12-2	NA	NA	inv	NA	NA	NA	TR001-2-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 4 55	const	4	55		US002-3-6	NA	NA	inv	NA	NA	NA	RU008-2-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 4 56	const	4	56		US002-5-2	NA	NA	inv	NA	NA	NA	GR002-5-1	NA	NA	nat	NA	NA	inv	NA	inv	0
const 4 57	const	4	57		CA001-15-4	NA	NA	inv	NA	NA	NA	TR001-6-7	NA	NA	nat	NA	NA	inv	NA	inv	0
const 5 58	const	5	58		US001-7-7	NA	NA	inv	NA	NA	NA	SAND-1-5	NA	NA	SK	NA	NA	NA	NA	tie	3
const 5 59	const	5	59		US003-11-1	NA	NA	inv	NA	NA	NA	BG001-8-5	NA	NA	nat	NA	NA	inv	NA	inv	0
const 5 60	const	5	60		US002-3-25	NA	NA	inv	NA	NA	NA	GR002-3-1	NA	NA	nat	NA	NA	nat	NA	nat	1
const 5 61	const	5	61		SAND-2-7	NA	NA	SK	NA	NA	NA	RU008-8-4	NA	NA	nat	NA	NA	NA	NA	tie	3
const 5 62	const	5	62		US003-16-2	NA	NA	inv	NA	NA	NA	TR001-10-4	NA	NA	nat	NA	NA	nat	NA	nat	1
const 5 63	const	5	63		US001-2-6	NA	NA	inv	NA	NA	NA	RU008-8-1	NA	NA	nat	NA	NA	NA	NA	tie	3
const 5 64	const	5	64		US003-16-14	NA	NA	inv	NA	NA	NA	TR001-6-7	NA	NA	nat	NA	NA	NA	NA	tie	3
