Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount1	LfLgth1	LfWdth1	comments
BG001-10-1	BG001-10-1	BG001	10	1	nat	array	dna	14	47	13	15.6	3.1	BOLTED TWOPSIX
BG001-10-2	BG001-10-2	BG001	10	2	nat	mat fx	flood	10	10	11	17.7	4.2	
BG001-10-3	BG001-10-3	BG001	10	3	nat	mat fx	flood	10	50	13	17.1	3.5	
BG001-1-1	BG001-1-1	BG001	1	1	nat	ass map	control	19	45	17	11.1	3.2	
BG001-11-1	BG001-11-1	BG001	11	1	nat	array	control 2	1	16	13	10	2.1	
BG001-11-2	BG001-11-2	BG001	11	2	nat	ass map	control	20	38	13	10.5	3	
BG001-11-3	BG001-11-3	BG001	11	3	nat	array	drought 3	4	29	16	12.3	2	
BG001-1-2	BG001-1-2	BG001	1	2	nat	mat fx	nut def	11	14	16	13.8	4.2	
BG001-13-1	BG001-13-1	BG001	13	1	nat	array	drought 2	3	32	18	10.5	2.1	
BG001-14-1	BG001-14-1	BG001	14	1	nat	ass map	control	17	8	16	12.9	3	
BG001-14-2	BG001-14-2	BG001	14	2	nat	mat fx	control	6	1	17	13.6	3.5	
BG001-14-3	BG001-14-3	BG001	14	3	nat	mat fx	allo	5	1	17	12.5	3.3	
BG001-15-1	BG001-15-1	BG001	15	1	nat	array	control 3	1	3	13	13.6	4.3	
BG001-16-1	BG001-16-1	BG001	16	1	nat	ass map	control	13	40	17	11.6	2.7	
BG001-17-1	BG001-17-1	BG001	17	1	nat	ass map	control	22	35	18	12.5	3.1	
BG001-17-10	BG001-17-10	BG001	17	10	nat	ass map	control	18	29	19	10.3	3.1	
BG001-17-2	BG001-17-2	BG001	17	2	nat	mat fx	cut	8	10	19	12.9	2.6	
BG001-17-3	BG001-17-3	BG001	17	3	nat	ass map	control	19	16	20	12.5	2.3	
BG001-17-4	BG001-17-4	BG001	17	4	nat	ass map	control	16	18	18	10.6	2.5	
BG001-17-5	BG001-17-5	BG001	17	5	nat	array	drought 1	4	10	15	12.1	3.1	
BG001-17-6	BG001-17-6	BG001	17	6	nat	ass map	control	16	36	17	11.2	2.3	
BG001-17-7	BG001-17-7	BG001	17	7	nat	mat fx	allo	5	34	14	11.7	3.7	
BG001-17-8	BG001-17-8	BG001	17	8	nat	mat fx	nut def	11	7	15	12	2.2	
BG001-17-9	BG001-17-9	BG001	17	9	nat	mat fx	control	6	5	26	7.4	2	
BG001-18-1	BG001-18-1	BG001	18	1	nat	array	control 3	2	34	15	12.6	4.3	
BG001-18-2	BG001-18-2	BG001	18	2	nat	mat fx	allo	5	49	17	12.3	3.5	
BG001-18-3	BG001-18-3	BG001	18	3	nat	ass map	control	15	49	16	10.5	2.9	
BG001-18-4	BG001-18-4	BG001	18	4	nat	mat fx	control	6	27	15	11	3.7	
BG001-18-5	BG001-18-5	BG001	18	5	nat	array	dna	19	48	16	11.1	3.3	
BG001-18-6	BG001-18-6	BG001	18	6	nat	mat fx	control	6	3	18	12.1	3.5	
BG001-18-7	BG001-18-7	BG001	18	7	nat	ass map	control	14	29	17	9.6	4.1	
BG001-2-1	BG001-2-1	BG001	2	1	nat	ass map	control	12	21	21	11.7	4.2	
BG001-3-1	BG001-3-1	BG001	3	1	nat	mat fx	cut	8	50	14	15	4.7	
BG001-3-2	BG001-3-2	BG001	3	2	nat	mat fx	control	7	1	11	13.5	4.4	
BG001-4-1	BG001-4-1	BG001	4	1	nat	ass map	control	17	31	17	10.2	2.2	
BG001-5-1	BG001-5-1	BG001	5	1	nat	array	drought 1	4	40	19	10.6	2.8	
BG001-5-2	BG001-5-2	BG001	5	2	nat	ass map	control	18	3	16	10.6	3.2	
BG001-5-3	BG001-5-3	BG001	5	3	nat	array	control 2	2	20	13	10.4	3.6	
BG001-5-4	BG001-5-4	BG001	5	4	nat	ass map	control	13	5	11	9.6	3	
