Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount2	LfLgth2	LfWdth2	comment
1	BG001-10-1	BG001	10	1	nat	array	dna	14	47	11	14.4	4	BLT FORTN P FIVE
2	BG001-1-1	BG001	1	1	nat	ass map	control	19	45	6	12	3.4	BLT 17.0
3	BG001-11-2	BG001	11	2	nat	ass map	control	20	38	19	18.4	3.9	
4	BG001-1-2	BG001	1	2	nat	mat fx	nut def	11	14	21	13.6	4.3	
5	BG001-14-1	BG001	14	1	nat	ass map	control	17	8	9	12.7	3.4	BOLT NINEPONE
6	BG001-14-2	BG001	14	2	nat	mat fx	control	6	1	19	13.7	3.8	
7	BG001-16-1	BG001	16	1	nat	ass map	control	13	40	33	16.3	3	
8	BG001-17-1	BG001	17	1	nat	ass map	control	22	35	23	16.7	3.9	
9	BG001-17-10	BG001	17	10	nat	ass map	control	18	29	27	21.2	5.4	
10	BG001-17-2	BG001	17	2	nat	mat fx	cut	8	10	24	0	0	
11	BG001-17-3	BG001	17	3	nat	ass map	control	19	16	19	16.9	3.2	
12	BG001-17-4	BG001	17	4	nat	ass map	control	16	18	20	19.3	3.6	
13	BG001-17-6	BG001	17	6	nat	ass map	control	16	36	25	21	4.2	
14	BG001-17-8	BG001	17	8	nat	mat fx	nut def	11	7	18	12.1	3.4	
15	BG001-17-9	BG001	17	9	nat	mat fx	control	6	5	35	14.6	3.3	
16	BG001-18-3	BG001	18	3	nat	ass map	control	15	49	15	10.9	3.1	
17	BG001-18-4	BG001	18	4	nat	mat fx	control	6	27	20	20.1	4.9	
18	BG001-18-5	BG001	18	5	nat	array	dna	19	48	12	14.5	4.7	
19	BG001-18-6	BG001	18	6	nat	mat fx	control	6	3	21	17.4	3.8	
20	BG001-18-7	BG001	18	7	nat	ass map	control	14	29	21	18.5	3.7	
21	BG001-2-1	BG001	2	1	nat	ass map	control	12	21	15	12.7	3.9	
22	BG001-3-1	BG001	3	1	nat	mat fx	cut	8	50	17	0	0	
23	BG001-3-2	BG001	3	2	nat	mat fx	control	7	1	15	13.4	4.4	
24	BG001-4-1	BG001	4	1	nat	ass map	control	17	31	14	12	4.1	
25	BG001-5-2	BG001	5	2	nat	ass map	control	18	3	19	13.7	4.5	
26	BG001-5-4	BG001	5	4	nat	ass map	control	13	5	13	11.9	3.2	
27	BG001-6-1	BG001	6	1	nat	ass map	control	13	8	19	15.2	2.2	
28	BG001-6-3	BG001	6	3	nat	ass map	control	19	12	14	20.4	2.6	
29	BG001-6-5	BG001	6	5	nat	array	dna	15	48	19	16.4	2.6	
30	BG001-8-1	BG001	8	1	nat	mat fx	control	6	29	32	25.7	4.5	
31	BG001-8-2	BG001	8	2	nat	ass map	control	22	18	0	0	0	BOLT 32.5
32	BG001-8-4	BG001	8	4	nat	ass map	control	14	34	15	18	4.6	
33	BG001-8-5	BG001	8	5	nat	mat fx	cut	8	43	16	0	0	
34	BG001-9-10	BG001	9	10	nat	ass map	control	16	1	6	13.1	4	BT 12.6
35	BG001-9-12	BG001	9	12	nat	ass map	control	23	5	14	22.4	7	
36	BG001-9-5	BG001	9	5	nat	mat fx	nut def	11	34	12	17.8	3.2	
37	BG001-9-6	BG001	9	6	nat	ass map	control	21	47	3	14.1	3.1	BLT 25.5
38	BG001-9-7	BG001	9	7	nat	ass map	control	22	8	20	20.8	4.7	
39	BG001-9-8	BG001	9	8	nat	ass map	control	13	16	17	19.4	3.8	
40	BG001-9-9	BG001	9	9	nat	ass map	control	19	31	7	15	3.6	
41	BG3-1-1	BG3	1	1	SK	ass map	control	22	36	12	18.1	5.6	
42	BG3-1-2	BG3	1	2	SK	ass map	control	17	30	8	20	3.8	
43	BG3-1-3	BG3	1	3	SK	ass map	control	18	30	15	15	5.5	
44	BG3-1-4	BG3	1	4	SK	ass map	control	17	9	12	16.4	2.1	
45	BG3-2-1	BG3	2	1	SK	ass map	control	13	38	11	19.2	6.5	
46	BG3-2-2	BG3	2	2	SK	ass map	control	15	8	9	19.7	5.8	
47	BG3-3-1	BG3	3	1	SK	ass map	control	14	32	9	21.9	6.6	
48	CA001-10-1	CA001	10	1	inv	ass map	control	13	3	7	18.3	4.7	
49	CA001-10-2	CA001	10	2	inv	ass map	control	14	15	11	16.6	5.9	
50	CA001-10-3	CA001	10	3	inv	ass map	control	23	40	8	23.3	6.1	
51	CA001-10-4	CA001	10	4	inv	array	dna	13	48	16	22	4.7	
52	CA001-10-5	CA001	10	5	inv	ass map	control	21	14	10	23.1	4.7	
