Rack	Pos	Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	HBoltHt3	HBoltHt4	HBoltHt5	HBoltHt6	HBoltHt7	FlrHeadCount	HarvNotes	MsrHarvest	CrownDiam.mm	ShootMass.g	MassNotes	MsrHarvest2	MsrHarvest3
BG001-10-1	14	47	BG001-10-1	BG001	10	1	nat	array	dna	0	0	0	y	1	18.1	18.1	NA	NA	NA	NA	NA	NA	195	FLR PRPL	10/19/2010	0.75	2.883	NA	2010-10-19	84
BG001-1-1	19	45	BG001-1-1	BG001	1	1	nat	ass map	control	0	0	0	y	1	18.5	18.5	NA	NA	NA	NA	NA	NA	126	LIGHT PURPLE	10/21/2010	0.8	3.035	NA	2010-10-21	86
BG001-11-2	20	38	BG001-11-2	BG001	11	2	nat	ass map	control	0	0	0	y	1	32.5	32.5	NA	NA	NA	NA	NA	NA	134		10/21/2010	0.8	5.231	NA	2010-10-21	86
BG001-1-2	11	14	BG001-1-2	BG001	1	2	nat	mat fx	nut def	22	17.5	3.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.9	2.292	NA	2010-10-13	78
BG001-14-1	17	8	BG001-14-1	BG001	14	1	nat	ass map	control	0	0	0	y	1	16	16	NA	NA	NA	NA	NA	NA	90	LIGHT PRPL FLRS	10/20/2010	0.6	2.436	NA	2010-10-20	85
BG001-14-2	6	1	BG001-14-2	BG001	14	2	nat	mat fx	control	15	18.7	3.2	y	1	19.5	19.5	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1.2	4.193	NA	2010-10-19	84
BG001-16-1	13	40	BG001-16-1	BG001	16	1	nat	ass map	control	14	22.3	2.8	y	1	5	5	NA	NA	NA	NA	NA	NA	NA		10/21/2010	1	3.229	NA	2010-10-21	86
BG001-17-1	22	35	BG001-17-1	BG001	17	1	nat	ass map	control	7	25.8	5.9	y	1	38.5	38.5	NA	NA	NA	NA	NA	NA	25		10/21/2010	1.1	4.909	NA	2010-10-21	86
BG001-17-10	18	29	BG001-17-10	BG001	17	10	nat	ass map	control	23	25	4.7	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/20/2010	1.1	3.394	NA	2010-10-20	85
BG001-17-2	8	10	BG001-17-2	BG001	17	2	nat	mat fx	cut	38	0	0	y	1	3.5	3.5	NA	NA	NA	NA	NA	NA	NA		10/18/2010	0.9	NA	NA	2010-10-18	83
BG001-17-3	19	16	BG001-17-3	BG001	17	3	nat	ass map	control	25	25.1	4.8	y	1	23.3	23.3	NA	NA	NA	NA	NA	NA	12		10/21/2010	1.1	3.302	NA	2010-10-21	86
BG001-17-4	16	18	BG001-17-4	BG001	17	4	nat	ass map	control	30	24.9	6.1	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	0		10/15/2010	1.2	4.047	NA	2010-10-15	80
BG001-17-6	16	36	BG001-17-6	BG001	17	6	nat	ass map	control	21	21.1	3.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/15/2010	0.95	3.2	NA	2010-10-15	80
BG001-17-8	11	7	BG001-17-8	BG001	17	8	nat	mat fx	nut def	16	12.1	3.2	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/13/2010	0.7	1.565	NA	2010-10-13	78
BG001-17-9	6	5	BG001-17-9	BG001	17	9	nat	mat fx	control	39	20.1	4.8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		10/19/2010	1.1	3.87	NA	2010-10-19	84
