CrossID	PopID	CrossNum	SeedCount	GermCount	GermAvgDate	MomID	MomFam	MomIndiv	DadID	DadFam	DadIndiv	Origin	BegCrossDate	WtCount	TotSeedWt	SeedWt
BG001-1	BG001-1	BG001	1	2	2	2	29M	29	M	25L	25	L	nat	1/18/2010	2	0.0038	0.0019
BG001-2	BG001-2	BG001	2	1	1	2	29M	29	M	25N	25	N	nat	1/14/2010	1	0.0014	0.0014
BG001-3	BG001-3	BG001	3	2	4	3.5	16N	16	N	25L	25	L	nat	1/18/2010	2	0.0034	0.0017
BG001-4	BG001-4	BG001	4	1	1	2	22N	22	N	25N	25	N	nat	1/21/2010	1	0.0018	0.0018
BG001-5	BG001-5	BG001	5	6	6	2	22N	22	N	29M	29	M	nat	1/28/2010	6	0.0077	0.001283333
BG001-6	BG001-6	BG001	6	6	4	2.5	22O	22	O	25L	25	L	nat	1/18/2010	6	0.0072	0.0012
BG001-7	BG001-7	BG001	7	3	2	2	22O	22	O	17O	17	O	nat	1/25/2010	3	0.0041	0.001366667
BG001-8	BG001-8	BG001	8	8	8	2	25L	25	L	16N	16	N	nat	1/21/2010	8	0.0082	0.001025
BG001-9	BG001-9	BG001	9	12	12	2	25L	25	L	22N	22	N	nat	1/28/2010	12	0.0135	0.001125
BG001-10	BG001-10	BG001	10	3	3	2	25L	25	L	17O	17	O	nat	1/14/2010	3	0.035	0.011666667
BG001-11	BG001-11	BG001	11	3	3	2	25L	25	L	22O	22	O	nat	1/18/2010	3	0.0038	0.001266667
BG001-12	BG001-12	BG001	12	4	0	NA	25N	25	N	29M	29	M	nat	1/14/2010	4	0.0017	0.000425
BG001-13	BG001-13	BG001	13	2	1	2	25N	25	N	16M	16	M	nat	1/14/2010	2	0.0025	0.00125
BG001-14	BG001-14	BG001	14	3	3	2	25N	25	N	17O	17	O	nat	1/14/2010	3	0.0052	0.001733333
BG001-15	BG001-15	BG001	15	2	1	2	25L	25	L	17K	17	K	nat	1/14/2010	2	0.0021	0.00105
BG001-16	BG001-16	BG001	16	2	1	2	17K	17	K	25N	25	N	nat	1/28/2010	2	0.0029	0.00145
BG001-17	BG001-17	BG001	17	11	11	2.181818182	17K	17	K	16N	16	N	nat	1/18/2010	11	0.0146	0.001327273
BG001-18	BG001-18	BG001	18	7	7	2	16A	16	A	25N	25	N	nat	1/17/2010	7	0.0109	0.001557143
BG3-1	BG3-1	BG3	1	10	4	2	13	NA			NA		sk		NA	NA	0.015
BG3-2	BG3-2	BG3	2	10	3	2	18	NA			NA		sk		NA	NA	0.015
BG3-3	BG3-3	BG3	3	10	3	2	17	NA			NA		sk		NA	NA	0.015
CA001-1	CA001-1	CA001	1	4	3	2.333333333	4L	4	L	3N	3	N	inv	1/27/2010	4	0.0075	0.001875
CA001-2	CA001-2	CA001	2	7	6	2.333333333	3O	3	O	7L	7	L	inv	1/20/2010	7	0.0131	0.001871429
CA001-3	CA001-3	CA001	3	19	19	2.684210526	3O	3	O	2M	2	M	inv	1/27/2010	17	0.0313	0.001841176
CA001-4	CA001-4	CA001	4	13	12	2.5	3O	3	O	2N	2	N	inv	1/14/2010	13	0.0228	0.001753846
CA001-5	CA001-5	CA001	5	24	24	2	3O	3	O	3N	3	N	inv	1/20/2010	24	0.0421	0.001754167
CA001-6	CA001-6	CA001	6	2	2	2	2M	2	M	7L	7	L	inv	3/7/2010	2	0.0037	0.00185
CA001-7	CA001-7	CA001	7	12	10	2.2	2M	2	M	3N	3	N	inv	1/20/2010	12	0.0198	0.00165
CA001-8	CA001-8	CA001	8	26	25	2.36	2M	2	M	3O	3	O	inv	1/14/2010	24	0.045	0.001875
CA001-9	CA001-9	CA001	9	33	30	2.133333333	2M	2	M	4L	4	L	inv	1/27/2010	33	0.0603	0.001827273
CA001-10	CA001-10	CA001	10	7	7	2.428571429	3N	3	N	7L	7	L	inv	3/17/2010	7	0.0133	0.0019
CA001-11	CA001-11	CA001	11	14	14	2.571428571	3N	3	N	2M	2	M	inv	1/20/2010	14	0.0237	0.001692857
CA001-12	CA001-12	CA001	12	20	19	2.210526316	3N	3	N	4L	4	L	inv	1/20/2010	19	0.0339	0.001784211
CA001-13	CA001-13	CA001	13	3	3	2.333333333	3N	3	N	3O	3	O	inv	1/20/2010	3	0.0051	0.0017
CA001-14	CA001-14	CA001	14	1	1	2	4L	4	L	7L	7	L	inv	3/17/2010	1	0.0027	0.0027
CA001-15	CA001-15	CA001	15	8	7	2.428571429	4L	4	L	3O	3	O	inv	1/12/2009	8	0.0154	0.001925
CA001-16	CA001-16	CA001	16	10	9	2.666666667	4L	4	L	2M	2	M	inv	1/27/2010	10	0.0215	0.00215
CA001-17	CA001-17	CA001	17	14	14	2.642857143	7L	7	L	3N	3	N	inv	3/7/2010	11	0.027	0.002454545
CA001-18	CA001-18	CA001	18	2	2	2	7L	7	L	3O	3	O	inv	3/7/2010	2	0.004	0.002
CA001-19	CA001-19	CA001	19	3	3	2	7L	7	L	2M	2	M	inv	3/7/2010	3	0.006	0.002
CA001-20	CA001-20	CA001	20	13	13	2.538461538	7L	7	L	4L	4	L	inv	3/7/2010	22	0.025	0.001136364
GR002-1	GR002-1	GR002	1	3	3	2	25L	25	L	17M	17	M	nat	3/17/2010	3	0.0061	0.002033333
GR002-2	GR002-2	GR002	2	1	0	NA	25L	25	L	25K	25	K	nat	1/21/2010	1	1e-04	1e-04
GR002-3	GR002-3	GR002	3	3	3	2	25M	25	M	13K	13	K	nat	1/14/2010	3	0.0061	0.002033333
GR002-4	GR002-4	GR002	4	1	1	2	13K	13	K	25L	25	L	nat	1/19/2010	1	0.0023	0.0023
GR002-5	GR002-5	GR002	5	1	1	2	13K	13	K	25M	25	M	nat	1/19/2010	1	0.0021	0.0021
GR002-6	GR002-6	GR002	6	2	2	2	13K	13	K	17M	17	M	nat	3/17/2010	2	0.0046	0.0023
GR002-7	GR002-7	GR002	7	1	0	NA	25K	25	K	2K	2	K	nat	1/27/2010	1	0.0017	0.0017
GR002-8	GR002-8	GR002	8	2	1	2	25K	25	K	25M	25	M	nat	1/19/2010	2	0.0028	0.0014
GR002-9	GR002-9	GR002	9	9	9	2	25K	25	K	13K	13	K	nat	1/19/2010	9	0.0132	0.001466667
GR002-10	GR002-10	GR002	10	4	4	2.25	23N	23	N	20L	20	L	nat	3/17/2010	4	0.007	0.00175
HUG-1	HUG-1	HUG	1	10	1	2	20	NA			NA		sk		NA	NA	0.012
HUG-2	HUG-2	HUG	2	10	0	NA	15	NA			NA		sk		NA	NA	0.009
HUG-3	HUG-3	HUG	3	10	0	NA	14	NA			NA		sk		NA	NA	0.009
RU008-1	RU008-1	RU008	1	2	2	2	17K	17	K	21N	21	N	nat	1/27/2010	2	0.0039	0.00195
RU008-2	RU008-2	RU008	2	2	2	2	16N	16	N	21N	21	N	nat	1/27/2010	2	0.0041	0.00205
RU008-3	RU008-3	RU008	3	1	1	2	17K	17	K	21M	21	M	nat	2/26/2010	1	0.0021	0.0021
RU008-4	RU008-4	RU008	4	1	1	3	17L	17	L	21N	21	N	nat	1/27/2010	1	0.0014	0.0014
RU008-5	RU008-5	RU008	5	11	10	2.1	21N	21	N	17K	17	K	nat	1/27/2010	11	0.0197	0.001790909
