PopID	CrossNum	Barcode	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount1	LfLgth1	LfWdth1	comments	Yellow	Death	Float	DeathDay	YellowDay	FloatDay	Latitude	Longitude	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv
1	BG001	10	BG001-10-2	2	nat	mat fx	flood	10	10	11	17.7	4.2		8/3/2010	8/9/2010	8/7/2010	13	7	11	43.3819444444444	28.4575	25L	25	L	17O	17	O
2	BG001	10	BG001-10-3	3	nat	mat fx	flood	10	50	13	17.1	3.5		8/3/2010	8/9/2010		13	7	NA	43.3819444444444	28.4575	25L	25	L	17O	17	O
3	BG001	9	BG001-9-2	2	nat	mat fx	flood	10	32	13	22.6	3.6		8/1/2010	8/9/2010	8/7/2010	13	5	11	43.3819444444444	28.4575	25L	25	L	22N	22	N
4	CA001	12	CA001-12-4	4	inv	mat fx	flood	10	38	11	15.2	3.4		8/2/2010	8/9/2010		13	6	NA	49.0149388888889	-122.882097222222	3N	3	N	4L	4	L
5	CA001	5	CA001-5-1	1	inv	mat fx	flood	10	7	15	19.1	5		8/1/2010	8/9/2010		13	5	NA	49.0149388888889	-122.882097222222	3O	3	O	3N	3	N
6	CA001	8	CA001-8-11	11	inv	mat fx	flood	10	34	16	22.4	4.5		8/1/2010	8/13/2010	8/11/2010	17	5	15	49.0149388888889	-122.882097222222	2M	2	M	3O	3	O
7	GR002	8	GR002-8-1	1	nat	mat fx	flood	10	36	14	16.2	3.1		8/3/2010	8/7/2010	8/7/2010	11	7	11	40.6213888888889	23.0786111111111	25K	25	K	25M	25	M
8	GR002	9	GR002-9-5	5	nat	mat fx	flood	10	29	12	17.9	4.2		8/2/2010	8/9/2010		13	6	NA	40.6213888888889	23.0786111111111	25K	25	K	13K	13	K
9	GR002	9	GR002-9-9	9	nat	mat fx	flood	10	43	14	18.8	3.1		8/2/2010	8/9/2010		13	6	NA	40.6213888888889	23.0786111111111	25K	25	K	13K	13	K
10	RU008	5	RU008-5-4	4	nat	mat fx	flood	10	16	21	14.6	4.5		8/3/2010	8/13/2010	8/11/2010	17	7	15	44.05	43.06000278	21N	21	N	17K	17	K
11	RU008	5	RU008-5-5	5	nat	mat fx	flood	10	40	26	14.9	3.9		8/1/2010	8/9/2010		13	5	NA	44.05	43.06000278	21N	21	N	17K	17	K
12	RU008	8	RU008-8-5	5	nat	mat fx	flood	10	9	16	19.7	3.9		8/1/2010	8/13/2010	8/7/2010	17	5	11	44.05	43.06000278	21M	21	M	17K	17	K
13	TR001	8	TR001-8-1	1	nat	mat fx	flood	10	18	12	16.3	3.7		8/2/2010	8/9/2010		13	6	NA	41.7511111111111	27.2477777777778	1K	1	K	12K	12	K
14	TR001	9	TR001-9-10	10	nat	mat fx	flood	10	45	18	16	4.1		8/2/2010	8/9/2010		13	6	NA	41.7511111111111	27.2477777777778	29K	29	K	12M	12	M
15	TR001	9	TR001-9-15	15	nat	mat fx	flood	10	23	12	17.1	3.9		8/7/2010	8/9/2010	8/7/2010	13	11	11	41.7511111111111	27.2477777777778	29K	29	K	12M	12	M
16	US001	11	US001-11-1	1	inv	mat fx	flood	10	5	17	15.8	3.7		8/1/2010	8/9/2010	8/7/2010	13	5	11	45.6152333333333	-120.787533333333	20L	20	L	23N	23	N
17	US001	12	US001-12-1	1	inv	mat fx	flood	10	20	7	12.9	2		8/5/2010	8/7/2010	8/5/2010	11	9	9	45.6152333333333	-120.787533333333	20L	20	L	22M	22	M
18	US001	4	US001-4-3	3	inv	mat fx	flood	10	25	12	21.5	3.9		8/1/2010	8/9/2010	8/7/2010	13	5	11	45.6152333333333	-120.787533333333	22M	22	M	23N	23	N
19	US002	1	US002-1-2	2	inv	mat fx	flood	10	41	15	19.5	3.7	YELLOWING	8/1/2010	8/11/2010	8/11/2010	15	5	15	46.1822666666667	-118.82615	17L	17	L	24K	24	K
20	US002	3	US002-3-22	22	inv	mat fx	flood	10	49	12	22.5	5.2		8/1/2010	8/9/2010	8/7/2010	13	5	11	46.1822666666667	-118.82615	22K	22	K	5K	5	K
21	US002	6	US002-6-1	1	inv	mat fx	flood	10	3	15	14	3.9		8/2/2010	8/13/2010		17	6	NA	46.1822666666667	-118.82615	24K	24	K	5K	5	K
22	US003	11	US003-11-2	2	inv	mat fx	flood	10	27	12	21.7	3.4		8/5/2010	8/9/2010	8/9/2010	13	9	13	46.60415	-116.64175	28L	28	L	20K	20	K
23	US003	15	US003-15-2	2	inv	mat fx	flood	10	12	30	18.6	5.4		8/1/2010	8/9/2010		13	5	NA	46.60415	-116.64175	19K	19	K	27N	27	N
24	US003	4	US003-4-3	3	inv	mat fx	flood	10	1	14	20	4.8		8/3/2010	8/9/2010		13	7	NA	46.60415	-116.64175	20K	20	K	28L	28	L
