Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount1	LfLgth1	LfWdth1	comments	Yellow	Death	Float	DeathDay	YellowDay	FloatDay
1	BG001-10-2	BG001	10	2	nat	mat fx	flood	10	10	11	17.7	4.2		8/3/2010	8/9/2010	8/7/2010	13	7	11
2	BG001-10-3	BG001	10	3	nat	mat fx	flood	10	50	13	17.1	3.5		8/3/2010	8/9/2010		13	7	NA
3	BG001-9-2	BG001	9	2	nat	mat fx	flood	10	32	13	22.6	3.6		8/1/2010	8/9/2010	8/7/2010	13	5	11
4	CA001-12-4	CA001	12	4	inv	mat fx	flood	10	38	11	15.2	3.4		8/2/2010	8/9/2010		13	6	NA
5	CA001-5-1	CA001	5	1	inv	mat fx	flood	10	7	15	19.1	5		8/1/2010	8/9/2010		13	5	NA
6	CA001-8-11	CA001	8	11	inv	mat fx	flood	10	34	16	22.4	4.5		8/1/2010	8/13/2010	8/11/2010	17	5	15
7	GR002-8-1	GR002	8	1	nat	mat fx	flood	10	36	14	16.2	3.1		8/3/2010	8/7/2010	8/7/2010	11	7	11
8	GR002-9-5	GR002	9	5	nat	mat fx	flood	10	29	12	17.9	4.2		8/2/2010	8/9/2010		13	6	NA
9	GR002-9-9	GR002	9	9	nat	mat fx	flood	10	43	14	18.8	3.1		8/2/2010	8/9/2010		13	6	NA
10	RU008-5-4	RU008	5	4	nat	mat fx	flood	10	16	21	14.6	4.5		8/3/2010	8/13/2010	8/11/2010	17	7	15
11	RU008-5-5	RU008	5	5	nat	mat fx	flood	10	40	26	14.9	3.9		8/1/2010	8/9/2010		13	5	NA
12	RU008-8-5	RU008	8	5	nat	mat fx	flood	10	9	16	19.7	3.9		8/1/2010	8/13/2010	8/7/2010	17	5	11
13	SAND-2-6	SAND	2	6	SK	mat fx	flood	10	47	15	20.1	5.2		8/1/2010	8/13/2010		17	5	NA
14	SAND-3-1	SAND	3	1	SK	mat fx	flood	10	21	12	13	4.4		8/2/2010	8/11/2010		15	6	NA
15	SAND-3-2	SAND	3	2	SK	mat fx	flood	10	14	24	17.1	5.2		8/1/2010	8/16/2010	8/16/2010	20	5	20
16	TR001-8-1	TR001	8	1	nat	mat fx	flood	10	18	12	16.3	3.7		8/2/2010	8/9/2010		13	6	NA
17	TR001-9-10	TR001	9	10	nat	mat fx	flood	10	45	18	16	4.1		8/2/2010	8/9/2010		13	6	NA
18	TR001-9-15	TR001	9	15	nat	mat fx	flood	10	23	12	17.1	3.9		8/7/2010	8/9/2010	8/7/2010	13	11	11
19	US001-11-1	US001	11	1	inv	mat fx	flood	10	5	17	15.8	3.7		8/1/2010	8/9/2010	8/7/2010	13	5	11
20	US001-12-1	US001	12	1	inv	mat fx	flood	10	20	7	12.9	2		8/5/2010	8/7/2010	8/5/2010	11	9	9
21	US001-4-3	US001	4	3	inv	mat fx	flood	10	25	12	21.5	3.9		8/1/2010	8/9/2010	8/7/2010	13	5	11
22	US002-1-2	US002	1	2	inv	mat fx	flood	10	41	15	19.5	3.7	YELLOWING	8/1/2010	8/11/2010	8/11/2010	15	5	15
23	US002-3-22	US002	3	22	inv	mat fx	flood	10	49	12	22.5	5.2		8/1/2010	8/9/2010	8/7/2010	13	5	11
24	US002-6-1	US002	6	1	inv	mat fx	flood	10	3	15	14	3.9		8/2/2010	8/13/2010		17	6	NA
25	US003-11-2	US003	11	2	inv	mat fx	flood	10	27	12	21.7	3.4		8/5/2010	8/9/2010	8/9/2010	13	9	13
26	US003-15-2	US003	15	2	inv	mat fx	flood	10	12	30	18.6	5.4		8/1/2010	8/9/2010		13	5	NA
27	US003-4-3	US003	4	3	inv	mat fx	flood	10	1	14	20	4.8		8/3/2010	8/9/2010		13	7	NA
