PopID	CrossNum	Barcode	Origin	Exp	Trt	Rack	Pos	Indiv	LfCount1	LfLgth1	LfWdth1	LfCount2	LfLgth2	LfWdth2	SLAmass.g	SLAarea	SLAdate	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	FlrHeadCount	CrownDiam.mm	ShootMass.g	MsrHarvest2	MsrHarvest3	Yellow	BoltDate	BoltDay	Latitude	Longitude	lxwH	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv
1	BG001	1	BG001-1-2	nat	mat fx	nut def	11	14	2	16	13.8	4.2	21	13.6	4.3	0.057	9.53	10/13/2010	22	17.5	3.8	n	NA	NA	NA	NA	0.9	2.292	2010-10-13	78	8/1/2010		NA	43.3819444444444	28.4575	66.5	29M	29	M	25L	25	L
2	BG001	17	BG001-17-8	nat	mat fx	nut def	11	7	8	15	12	2.2	18	12.1	3.4	0.054	8.246	10/13/2010	16	12.1	3.2	n	NA	NA	NA	NA	0.7	1.565	2010-10-13	78	8/3/2010		NA	43.3819444444444	28.4575	38.72	17K	17	K	16N	16	N
3	BG001	9	BG001-9-5	nat	mat fx	nut def	11	34	5	10	17.9	2.9	12	17.8	3.2	0.05	5.897	10/13/2010	15	17.9	2.9	n	NA	NA	NA	NA	0.5	0.701	2010-10-13	78	8/5/2010		NA	43.3819444444444	28.4575	51.91	25L	25	L	22N	22	N
4	CA001	12	CA001-12-14	inv	mat fx	nut def	11	20	14	10	17	3.4	11	17.1	3.2	0.077	NA	10/13/2010	14	13.1	3.9	n	NA	NA	NA	NA	0.45	1.296	2010-10-13	78	8/5/2010		NA	49.0149388888889	-122.882097222222	51.09	3N	3	N	4L	4	L
5	CA001	5	CA001-5-17	inv	mat fx	nut def	11	40	17	15	16.5	4.8	13	16.4	4.1	0.141	17.187	10/13/2010	16	17.1	4.2	n	NA	NA	NA	NA	0.6	2.008	2010-10-13	78	8/1/2010		NA	49.0149388888889	-122.882097222222	71.82	3O	3	O	3N	3	N
6	CA001	7	CA001-7-5	inv	mat fx	nut def	11	36	5	11	21.5	5.1	12	21.6	5.6	0.085	10.237	10/13/2010	14	18.3	4.7	n	NA	NA	NA	NA	0.55	1.713	2010-10-13	78	8/1/2010		NA	49.0149388888889	-122.882097222222	86.01	2M	2	M	3N	3	N
7	GR002	10	GR002-10-3	nat	mat fx	nut def	11	45	3	14	17	4.2	14	16.2	4.1	0.094	14.25	10/13/2010	22	16.1	4.8	n	NA	NA	NA	NA	0.7	2.131	2010-10-13	78	8/1/2010		NA	40.6213888888889	23.0786111111111	77.28	23N	23	N	20L	20	L
8	GR002	6	GR002-6-2	nat	mat fx	nut def	11	49	2	15	15.7	2.8	11	15.6	3.4	0.054	9.83	10/13/2010	16	13.5	3.8	n	NA	NA	NA	NA	0.8	1.565	2010-10-13	78	8/1/2010		NA	40.6213888888889	23.0786111111111	51.3	13K	13	K	17M	17	M
9	GR002	9	GR002-9-8	nat	mat fx	nut def	11	38	8	15	17.7	2.9	14	17.9	3.7	0.09	10.807	10/13/2010	16	17.1	3.6	n	NA	NA	NA	NA	0.7	1.835	2010-10-13	78	8/3/2010		NA	40.6213888888889	23.0786111111111	61.56	25K	25	K	13K	13	K
10	RU008	6	RU008-6-1	nat	mat fx	nut def	11	27	1	34	11	3.4	40	13.7	4.2	0.055	8.01	10/13/2010	44	15.9	4.3	n	NA	NA	NA	NA	0.8	2.393	2010-10-13	78	8/3/2010		NA	44.05	43.06000278	68.37	21N	21	N	16N	16	N
11	RU008	9	RU008-9-2	nat	mat fx	nut def	11	23	2	13	14.5	4.6	20	17.9	4	0.088	13.562	10/13/2010	24	17.9	4.2	n	NA	NA	NA	NA	0.75	1.956	2010-10-13	78	8/3/2010		NA	44.05	43.06000278	75.18	21M	21	M	16N	16	N
12	RU008	9	RU008-9-5	nat	mat fx	nut def	11	47	5	17	16.1	4.1	12	12.3	4.7	0.055	7.627	10/13/2010	35	12.8	3.6	n	NA	NA	NA	NA	0.65	1.82	2010-10-13	78	8/1/2010		NA	44.05	43.06000278	46.08	21M	21	M	16N	16	N
13	TR001	10	TR001-10-3	nat	mat fx	nut def	11	16	3	16	12.8	2.9	18	13	3.2	0.06	7.144	10/13/2010	17	12.2	3.6	n	NA	NA	NA	NA	0.7	1.201	2010-10-13	78	8/7/2010		NA	41.7511111111111	27.2477777777778	43.92	29K	29	K	1K	1	K
14	TR001	2	TR001-2-2	nat	mat fx	nut def	11	18	2	11	17.8	3.2	12	18.5	2.4	0.068	8.989	10/13/2010	9	17.9	3.2	n	NA	NA	NA	NA	0.6	1.271	2010-10-13	78	8/13/2010		NA	41.7511111111111	27.2477777777778	57.28	12M	12	M	1K	1	K
