Barcode	Origin	Exp	Trt	Rack	Pos	PopID	CrossNum	Indiv	LfCount1	LfLgth1	LfWdth1	LfCount2	LfLgth2	LfWdth2	SLAmass.g	SLAarea	SLAdate	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	FlrHeadCount	CrownDiam.mm	ShootMass.g	MsrHarvest2	MsrHarvest3	Yellow	BoltDate	BoltDay
1	BG001-1-2	nat	mat fx	nut def	11	14	BG001	1	2	16	13.8	4.2	21	13.6	4.3	0.057	9.53	10/13/2010	22	17.5	3.8	n	NA	NA	NA	NA	0.9	2.292	2010-10-13	78	8/1/2010		NA
2	BG001-17-8	nat	mat fx	nut def	11	7	BG001	17	8	15	12	2.2	18	12.1	3.4	0.054	8.246	10/13/2010	16	12.1	3.2	n	NA	NA	NA	NA	0.7	1.565	2010-10-13	78	8/3/2010		NA
3	BG001-9-5	nat	mat fx	nut def	11	34	BG001	9	5	10	17.9	2.9	12	17.8	3.2	0.05	5.897	10/13/2010	15	17.9	2.9	n	NA	NA	NA	NA	0.5	0.701	2010-10-13	78	8/5/2010		NA
4	CA001-12-14	inv	mat fx	nut def	11	20	CA001	12	14	10	17	3.4	11	17.1	3.2	0.077	NA	10/13/2010	14	13.1	3.9	n	NA	NA	NA	NA	0.45	1.296	2010-10-13	78	8/5/2010		NA
5	CA001-5-17	inv	mat fx	nut def	11	40	CA001	5	17	15	16.5	4.8	13	16.4	4.1	0.141	17.187	10/13/2010	16	17.1	4.2	n	NA	NA	NA	NA	0.6	2.008	2010-10-13	78	8/1/2010		NA
6	CA001-7-5	inv	mat fx	nut def	11	36	CA001	7	5	11	21.5	5.1	12	21.6	5.6	0.085	10.237	10/13/2010	14	18.3	4.7	n	NA	NA	NA	NA	0.55	1.713	2010-10-13	78	8/1/2010		NA
7	GR002-10-3	nat	mat fx	nut def	11	45	GR002	10	3	14	17	4.2	14	16.2	4.1	0.094	14.25	10/13/2010	22	16.1	4.8	n	NA	NA	NA	NA	0.7	2.131	2010-10-13	78	8/1/2010		NA
8	GR002-6-2	nat	mat fx	nut def	11	49	GR002	6	2	15	15.7	2.8	11	15.6	3.4	0.054	9.83	10/13/2010	16	13.5	3.8	n	NA	NA	NA	NA	0.8	1.565	2010-10-13	78	8/1/2010		NA
9	GR002-9-8	nat	mat fx	nut def	11	38	GR002	9	8	15	17.7	2.9	14	17.9	3.7	0.09	10.807	10/13/2010	16	17.1	3.6	n	NA	NA	NA	NA	0.7	1.835	2010-10-13	78	8/3/2010		NA
10	RU008-6-1	nat	mat fx	nut def	11	27	RU008	6	1	34	11	3.4	40	13.7	4.2	0.055	8.01	10/13/2010	44	15.9	4.3	n	NA	NA	NA	NA	0.8	2.393	2010-10-13	78	8/3/2010		NA
11	RU008-9-2	nat	mat fx	nut def	11	23	RU008	9	2	13	14.5	4.6	20	17.9	4	0.088	13.562	10/13/2010	24	17.9	4.2	n	NA	NA	NA	NA	0.75	1.956	2010-10-13	78	8/3/2010		NA
12	RU008-9-5	nat	mat fx	nut def	11	47	RU008	9	5	17	16.1	4.1	12	12.3	4.7	0.055	7.627	10/13/2010	35	12.8	3.6	n	NA	NA	NA	NA	0.65	1.82	2010-10-13	78	8/1/2010		NA
13	SAND-1-3	SK	mat fx	nut def	11	3	SAND	1	3	15	20.4	5.2	17	20.5	6.2	0.081	10.027	10/13/2010	23	20.5	5.8	n	NA	NA	NA	NA	0.65	2.625	2010-10-13	78	8/1/2010		NA
14	SAND-1-4	SK	mat fx	nut def	11	43	SAND	1	4	16	17.5	7.3	20	18.2	6.6	0.135	10.355	10/13/2010	21	17.6	5.9	n	NA	NA	NA	NA	0.7	3.96	2010-10-13	78	8/1/2010		NA
