Rack	Pos	Barcode	Origin	Exp	Trt	comment	PopID	CrossNum	Indiv	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	FlrHeadCount	HarvNotes	CrownDiam.mm	ShootMass.g	MsrHarvest2	HarvestDay	LfCount2	LfLgth2	LfWdth2	LfCount1	LfLgth1	LfWdth1	BoltDate	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	BoltDay
1	6	1	BG001-14-2	nat	mat fx	control		BG001	14	2	15	18.7	3.2	y	1	19.5	19.5	NA	NA		1.2	4.193	2010-10-19	84	19	13.7	3.8	17	13.6	3.5	10/8/2010			0.117	18.685	10/19/2010	73
2	6	3	BG001-18-6	nat	mat fx	control		BG001	18	6	4	23	5.3	y	1	26.3	26.3	NA	30		0.9	3.316	2010-10-19	84	21	17.4	3.8	18	12.1	3.5	9/30/2010			NA	NA	10/19/2010	65
3	6	5	BG001-17-9	nat	mat fx	control		BG001	17	9	39	20.1	4.8	n	NA	NA	NA	NA	NA		1.1	3.87	2010-10-19	84	35	14.6	3.3	26	7.4	2				0.064	11.473	10/19/2010	NA
4	6	7	CA001-9-31	inv	mat fx	control		CA001	9	31	16	21.5	5.2	n	NA	NA	NA	NA	NA		1.1	4.276	2010-10-19	84	14	18.7	4.8	11	18.3	4.2				0.192	24.389	10/19/2010	NA
5	6	9	RU008-1-2	nat	mat fx	control		RU008	1	2	16	25.8	4.5	n	NA	NA	NA	NA	NA		1	3.713	2010-10-19	84	22	19.1	5.7	15	16.1	3.2				0.155	24.613	10/19/2010	NA
6	6	10	US003-3-10	inv	mat fx	control		US003	3	10	21	24.1	5	n	NA	NA	NA	NA	NA		0.8	3.816	2010-10-19	84	18	15.1	3.8	14	14.1	3.7				0.125	20.214	10/19/2010	NA
7	6	12	CA001-14-1	inv	mat fx	control		CA001	14	1	18	26.4	4.8	n	NA	NA	NA	NA	NA		0.8	4.045	2010-10-19	84	13	12.6	5	14	12.7	2.6				0.188	25.611	10/19/2010	NA
8	6	16	US002-6-4	inv	mat fx	control		US002	6	4	23	24.1	6.1	n	NA	NA	NA	NA	NA		1	5.091	2010-10-19	84	12	20.5	6.5	15	15	3.4				0.145	31.653	10/19/2010	NA
10	6	20	US001-6-3	inv	mat fx	control		US001	6	3	19	31.6	6.4	n	NA	NA	NA	NA	NA		0.9	4.28	2010-10-19	84	15	20.8	5.2	14	20.2	4.3				0.16	28.432	10/19/2010	NA
11	6	21	TR001-9-13	nat	mat fx	control		TR001	9	13	3	26.3	3.1	y	1	40.5	40.5	NA	NA		0.9	3.595	2010-10-19	84	11	18.5	5.8	16	17.3	3.3	9/30/2010			0.078	NA	10/19/2010	65
12	6	23	RU008-5-2	nat	mat fx	control		RU008	5	2	5	26.4	6.7	y	1	49.2	49.2	NA	19		0.9	4.758	2010-10-19	84	19	17.1	5.6	14	16.4	3.9	9/30/2010			0.135	NA	10/19/2010	65
13	6	25	RU008-11-1	nat	mat fx	control		RU008	11	1	25	31.5	5.3	n	NA	NA	NA	NA	NA		0.8	3.944	2010-10-19	84	14	23.9	6.7	14	14.3	3.4				0.139	22.506	10/19/2010	NA
14	6	27	BG001-18-4	nat	mat fx	control		BG001	18	4	10	23.1	5.3	y	1	30.3	30.3	NA	33		1.3	4.472	2010-10-19	84	20	20.1	4.9	15	11	3.7	9/30/2010			0.126	26.044	10/19/2010	65
15	6	29	BG001-8-1	nat	mat fx	control		BG001	8	1	0	0	0	y	1	39.5	39.5	NA	194	LGT PRPL	0.95	6.468	2010-10-19	84	32	25.7	4.5	15	16.2	4.2	9/10/2010	10/19/2010	light purple	NA	30.457	10/19/2010	45
17	6	34	GR002-1-2	nat	mat fx	control		GR002	1	2	8	26.5	6.1	y	NA	NA	NA	NA	NA		1	4.238	2010-10-19	84	11	20.7	5.1	12	17.8	3.8	9/30/2010			0.138	33.106	10/19/2010	65
18	6	36	US002-3-24	inv	mat fx	control		US002	3	24	18	27.5	6.3	n	NA	NA	NA	NA	NA		0.9	5.017	2010-10-19	84	27	23.5	5.4	20	16.8	3.5				0.222	40.231	10/19/2010	NA
19	6	38	US002-3-21	inv	mat fx	control		US002	3	21	10	29.1	5.2	n	NA	NA	NA	NA	NA		0.8	3.458	2010-10-19	84	10	22.1	6.5	11	19.6	3.5				0.27	40.1	10/19/2010	NA
20	6	40	US001-10-3	inv	mat fx	control		US001	10	3	8	27.6	4.7	n	NA	NA	NA	NA	NA		0.7	3.088	2010-10-19	84	10	18.9	5	15	21.3	3.9				0.177	32.59	10/19/2010	NA
21	6	41	GR002-9-4	nat	mat fx	control		GR002	9	4	15	23.6	4.2	n	NA	NA	NA	NA	NA		0.8	3.371	2010-10-19	84	13	20.6	4.4	16	21.3	4.2				0.151	19.606	10/19/2010	NA
22	6	43	US001-9-7	inv	mat fx	control		US001	9	7	11	27.2	4.6	n	NA	NA	NA	NA	NA		0.9	3.704	2010-10-19	84	11	19.7	3.8	15	19.9	3.7				0.257	40.578	10/19/2010	NA
23	6	45	US001-10-4	inv	mat fx	control		US001	10	4	13	23.2	5	n	NA	NA	NA	NA	NA		0.9	3.882	2010-10-19	84	10	16.7	5.2	14	15.5	3.8				0.221	37.256	10/19/2010	NA
24	6	47	RU008-8-2	nat	mat fx	control		RU008	8	2	8	20	5.2	y	1	21	21	NA	6		0.9	NA	2010-10-19	84	17	19	7.1	13	19.5	4.7	9/30/2010			0.107	19.242	10/19/2010	65
25	6	49	US002-5-3	inv	mat fx	control		US002	5	3	37	0	0	n	NA	NA	NA	NA	NA		0.9	NA	2010-10-19	84	21	0	0	18	11.6	3.5				NA	NA	10/19/2010	NA
26	6	50	US003-8-2	inv	mat fx	control		US003	8	2	16	18.8	4.8	y	1	3	3	NA	0		0.8	3.295	2010-10-19	84	18	13.2	4.8	15	12.2	3.2	10/8/2010			0.106	15.46	10/19/2010	73
27	7	1	BG001-3-2	nat	mat fx	control		BG001	3	2	0	NA	0	y	1	28.3	28.3	NA	13		0.7	2.726	2010-10-21	86	15	13.4	4.4	11	13.5	4.4	9/30/2010			0.075	11.876	10/18/2010	65
28	7	3	TR001-9-18	nat	mat fx	control		TR001	9	18	12	21	3.4	n	NA	NA	NA	NA	NA		1	1.695	2010-10-21	86	10	16.5	3.7	13	17.5	3.3				0.129	18.893	10/18/2010	NA
29	7	5	US003-16-11	inv	mat fx	control		US003	16	11	NA	NA	NA	n	NA	NA	NA	NA	NA		NA	3.445	2010-10-21	86	16	17.8	4.1	14	18.4	4.1				0.122	17.082	10/18/2010	NA
30	7	7	US001-10-5	inv	mat fx	control		US001	10	5	15	21	2.5	n	NA	NA	NA	NA	NA		1	3.484	2010-10-21	86	9	16.2	3.8	12	16	3.5				0.194	25.093	10/18/2010	NA
