PopID	Rack	Pos	Barcode	Origin	Exp	Trt	comment	CrossNum	Indiv	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	HBoltHt2	FlrHeadCount	HarvNotes	CrownDiam.mm	ShootMass.g	MsrHarvest2	HarvestDay	LfCount2	LfLgth2	LfWdth2	LfCount1	LfLgth1	LfWdth1	BoltDate	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	BoltDay	HBoltHt3	comments	FlwrNote	sla	Latitude	Longitude	lxwH	bolt.bin	BoltDay.adj
1	BG001	6	1	BG001-14-2	nat	mat fx	control		14	2	15	18.7	3.2	y	1	19.5	19.5	NA	NA		1.2	4.193	2010-10-19	84	19	13.7	3.8	17	13.6	3.5	10/8/2010			0.117	18.685	10/19/2010	73	NA	NA	NA	159.700854700855	43.3819444444444	28.4575	59.84	1	76
2	BG001	6	3	BG001-18-6	nat	mat fx	control		18	6	4	23	5.3	y	1	26.3	26.3	NA	30		0.9	3.316	2010-10-19	84	21	17.4	3.8	18	12.1	3.5	9/30/2010			NA	NA	10/19/2010	65	NA	NA	NA	NA	43.3819444444444	28.4575	121.9	1	68
3	BG001	6	5	BG001-17-9	nat	mat fx	control		17	9	39	20.1	4.8	n	NA	NA	NA	NA	NA		1.1	3.87	2010-10-19	84	35	14.6	3.3	26	7.4	2				0.064	11.473	10/19/2010	NA	NA	NA	NA	179.265625	43.3819444444444	28.4575	96.48	0	NA
4	BG001	13	40	BG001-16-1	nat	ass map	control		16	1	14	22.3	2.8	y	1	5	5	NA	NA		1	3.229	2010-10-21	86	33	16.3	3	17	11.6	2.7	10/8/2010			0.127	24.108	10/15/2010	73	NA		NA	189.826771653543	43.3819444444444	28.4575	62.44	1	76
5	BG001	20	38	BG001-11-2	nat	ass map	control		11	2	0	0	0	y	1	32.5	32.5	NA	134		0.8	5.231	2010-10-21	86	19	18.4	3.9	13	10.5	3	9/16/2010			NA	NA	10/15/2010	51	NA		NA	NA	43.3819444444444	28.4575	0	1	54
6	BG001	16	36	BG001-17-6	nat	ass map	control		17	6	21	21.1	3.8	n	NA	NA	NA	NA	NA		0.95	3.2	2010-10-15	80	25	21	4.2	17	11.2	2.3				0.126	28.234	10/13/2010	NA	NA		NA	224.079365079365	43.3819444444444	28.4575	80.18	0	NA
7	BG001	17	8	BG001-14-1	nat	ass map	control	BOLT NINEPONE	14	1	0	0	0	y	1	16	16	NA	90	LIGHT PRPL FLRS	0.6	2.436	2010-10-20	85	9	12.7	3.4	16	12.9	3	8/27/2010	9/30/2010	light purple	NA	NA	NA	31	NA		NA	NA	43.3819444444444	28.4575	0	1	34
8	BG001	14	29	BG001-18-7	nat	ass map	control		18	7	22	20.7	4.9	y	1	9	9	NA	NA		1	3.234	2010-10-19	84	21	18.5	3.7	17	9.6	4.1	10/19/2010			0.119	NA	10/14/2010	84	NA		NA	NA	43.3819444444444	28.4575	101.43	1	87
9	BG001	14	34	BG001-8-4	nat	ass map	control		8	4	1	21.9	4.5	y	1	40	40	NA	53		0.7	2.937	2010-10-19	84	15	18	4.6	14	18.4	4.8	9/16/2010			0.193	9.545	10/14/2010	51	NA		NA	49.4559585492228	43.3819444444444	28.4575	98.55	1	54
10	BG001	12	21	BG001-2-1	nat	ass map	control		2	1	7	19.6	4.7	y	1	19.5	19.5	NA	41		0.8	2.898	2010-10-19	84	15	12.7	3.9	21	11.7	4.2	9/16/2010			0.063	13.645	9/28/2010	51	NA		NA	216.587301587302	43.3819444444444	28.4575	92.12	1	54
11	BG001	19	45	BG001-1-1	nat	ass map	control	BLT 17.0	1	1	0	0	0	y	1	18.5	18.5	NA	126	LIGHT PURPLE	0.8	3.035	2010-10-21	86	6	12	3.4	17	11.1	3.2	8/9/2010	9/3/2010	light purple	NA	NA	NA	13	NA		NA	NA	43.3819444444444	28.4575	0	1	16
12	BG001	7	1	BG001-3-2	nat	mat fx	control		3	2	0	NA	0	y	1	28.3	28.3	NA	13		0.7	2.726	2010-10-21	86	15	13.4	4.4	11	13.5	4.4	9/30/2010			0.075	11.876	10/18/2010	65	NA	NA	NA	158.346666666667	43.3819444444444	28.4575	NA	1	68
13	BG001	6	27	BG001-18-4	nat	mat fx	control		18	4	10	23.1	5.3	y	1	30.3	30.3	NA	33		1.3	4.472	2010-10-19	84	20	20.1	4.9	15	11	3.7	9/30/2010			0.126	26.044	10/19/2010	65	NA	NA	NA	206.698412698413	43.3819444444444	28.4575	122.43	1	68
14	BG001	6	29	BG001-8-1	nat	mat fx	control		8	1	0	0	0	y	1	39.5	39.5	NA	194	LGT PRPL	0.95	6.468	2010-10-19	84	32	25.7	4.5	15	16.2	4.2	9/10/2010	10/19/2010	light purple	NA	30.457	10/19/2010	45	NA	NA	NA	NA	43.3819444444444	28.4575	0	1	48
15	BG001	13	8	BG001-6-1	nat	ass map	control		6	1	3	19.5	1	y	1	30.1	30.1	NA	15		0.7	2.338	2010-10-21	86	19	15.2	2.2	14	13.2	3.7	9/30/2010			0.041	7.298	10/15/2010	65	NA		NA	178	43.3819444444444	28.4575	19.5	1	68
16	BG001	13	16	BG001-9-8	nat	ass map	control		9	8	3	20.5	2.5	y	1	41.6	41.6	NA	49		0.5	3.536	2010-10-21	86	17	19.4	3.8	16	12.6	4.4	9/30/2010			NA	NA	10/15/2010	65	NA		NA	NA	43.3819444444444	28.4575	51.25	1	68
17	BG001	16	18	BG001-17-4	nat	ass map	control		17	4	30	24.9	6.1	n	NA	NA	NA	NA	0		1.2	4.047	2010-10-15	80	20	19.3	3.6	18	10.6	2.5				0.169	22.737	10/13/2010	NA	NA		NA	134.538461538462	43.3819444444444	28.4575	151.89	0	NA
18	BG001	23	5	BG001-9-12	nat	ass map	control		9	12	6	24	5.2	y	1	38	38	NA	16		0.8	2.515	2010-10-20	85	14	22.4	7	11	16.8	3.8	9/30/2010			0.087	24.436	10/19/2010	65	NA		NA	280.873563218391	43.3819444444444	28.4575	124.8	1	68
19	BG001	19	31	BG001-9-9	nat	ass map	control		9	9	0	0	0	y	2	27.2	27.2	21	62	L PRPL	0.55	2.248	2010-10-21	86	7	15	3.6	10	11	3	9/16/2010	10/21/2010	light purple	NA	NA	10/14/2010	51	NA		NA	NA	43.3819444444444	28.4575	0	1	54
20	BG001	19	12	BG001-6-3	nat	ass map	control		6	3	17	23.8	5.3	n	NA	NA	NA	NA	NA		1.2	2.824	2010-10-21	86	14	20.4	2.6	15	15	3.6				0.126	21.565	10/14/2010	NA	NA		NA	171.150793650794	43.3819444444444	28.4575	126.14	0	NA
