PopID	Barcode	Origin	Exp	Trt	Rack	Pos	SLAmass.g	SLAarea	SLAdate	CrossNum	Indiv	LfCount1	LfLgth1	LfWdth1	LfCount2	LfLgth2	LfWdth2	LfCountH	LfLgthH	LfWdthH	BoltedatH	BoltCountH	MaxBoltHtH	HBoltHt1	FlrHeadCount	CrownDiam.mm	ShootMass.g	MsrHarvest2	MsrHarvest3	BoltDate	FlwrDate	FlwrCol	BoltDay	comment	Latitude	Longitude	bolt.bin
1	BG001	BG001-17-2	nat	mat fx	cut	8	10	NA	NA	10/18/2010	17	2	19	12.9	2.6	24	0	0	38	0	0	y	1	3.5	3.5	NA	0.9	NA	2010-10-18	83	10/18/2010			83	NA	43.3819444444444	28.4575	1
2	BG001	BG001-3-1	nat	mat fx	cut	8	50	NA	NA	10/18/2010	3	1	14	15	4.7	17	0	0	27	0	0	n	NA	NA	NA	NA	0.85	NA	2010-10-18	83				NA	NA	43.3819444444444	28.4575	0
3	BG001	BG001-8-5	nat	mat fx	cut	8	43	NA	NA	10/18/2010	8	5	13	19.5	5.2	16	0	0	22	0	0	y	1	8	8	NA	0.8	NA	2010-10-18	83	10/18/2010			83	NA	43.3819444444444	28.4575	1
4	CA001	CA001-11-1	inv	mat fx	cut	8	34	NA	NA	10/18/2010	11	1	13	16	3.1	16	0	0	33	0	0	n	NA	NA	NA	NA	0.8	NA	2010-10-18	83				NA	NA	49.0149388888889	-122.882097222222	0
5	CA001	CA001-16-4	inv	mat fx	cut	8	42	NA	NA	10/18/2010	16	4	13	13.2	3.8	19	0	0	31	0	0	n	NA	NA	NA	NA	0.8	NA	2010-10-18	83				NA	NA	49.0149388888889	-122.882097222222	0
6	CA001	CA001-6-2	inv	mat fx	cut	8	38	NA	NA	10/18/2010	6	2	13	18.5	5.8	15	0	0	62	0	0	n	NA	NA	NA	NA	1	NA	2010-10-18	83				NA	NA	49.0149388888889	-122.882097222222	0
7	GR002	GR002-3-1	nat	mat fx	cut	8	16	NA	NA	NA	3	1	14	18	4.1	18	0	0	31	0	0	n	NA	NA	NA	NA	1.2	NA	2010-10-18	83				NA	NA	40.6213888888889	23.0786111111111	0
8	GR002	GR002-3-3	nat	mat fx	cut	8	27	NA	NA	10/18/2010	3	3	12	17	4.6	15	0	0	22	0	0	n	NA	NA	NA	NA	1	NA	2010-10-18	83				NA	NA	40.6213888888889	23.0786111111111	0
9	GR002	GR002-5-1	nat	mat fx	cut	8	7	NA	NA	10/18/2010	5	1	16	14.1	2.8	19	0	0	29	0	0	n	NA	NA	NA	NA	1.1	NA	2010-10-18	83				NA	NA	40.6213888888889	23.0786111111111	0
10	RU008	RU008-2-1	nat	mat fx	cut	8	18	NA	NA	10/18/2010	2	1	21	9.2	2.9	33	0	0	70	NA	0	y	1	6.5	6.5	NA	1	NA	2010-10-18	83	10/18/2010			83	NA	44.05	43.06000278	1
11	RU008	RU008-8-1	nat	mat fx	cut	8	12	NA	NA	10/18/2010	8	1	13	20.9	5	14	0	0	6	0	0	y	1	42.5	42.5	66	0.7	NA	2010-10-18	83	9/10/2010	10/18/2010	white	45	NA	44.05	43.06000278	1
12	RU008	RU008-8-4	nat	mat fx	cut	8	41	NA	NA	10/18/2010	8	4	13	23.6	5.2	15	0	0	32	0	0	y	1	2.5	2.5	NA	1	NA	2010-10-18	83	10/18/2010			83	NA	44.05	43.06000278	1
13	TR001	TR001-10-4	nat	mat fx	cut	8	21	NA	NA	10/18/2010	10	4	13	16.5	3.7	17	0	0	27	0	0	n	NA	NA	NA	NA	0.6	NA	2010-10-18	83				NA	NA	41.7511111111111	27.2477777777778	0
14	TR001	TR001-2-1	nat	mat fx	cut	8	47	NA	NA	10/18/2010	2	1	12	15.6	3.2	13	0	0	43	0	0	n	NA	NA	NA	NA	0.7	NA	2010-10-18	83				NA	NA	41.7511111111111	27.2477777777778	0
15	TR001	TR001-6-7	nat	mat fx	cut	8	23	NA	NA	10/18/2010	6	7	15	16	4.2	20	0	0	40	0	0	n	NA	NA	NA	NA	0.7	NA	2010-10-18	83				NA	NA	41.7511111111111	27.2477777777778	0
16	US001	US001-12-2	inv	mat fx	cut	8	40	NA	NA	10/18/2010	12	2	17	15.2	3.1	23	0	0	13	28.1	4.6	n	NA	NA	NA	NA	0.7	NA	2010-10-18	83				NA	NA	45.6152333333333	-120.787533333333	0
17	US001	US001-2-6	inv	mat fx	cut	8	25	NA	NA	10/18/2010	2	6	16	19.5	3.4	21	0	0	32	17.5	3.7	n	NA	NA	NA	NA	1	NA	2010-10-18	83				NA	NA	45.6152333333333	-120.787533333333	0
18	US001	US001-7-7	inv	mat fx	cut	8	1	NA	NA	10/18/2010	7	7	14	18.6	4.8	11	0	0	29	0	0	n	NA	0	NA	0	0.95	NA	2010-10-18	83				NA	NA	45.6152333333333	-120.787533333333	0
19	US002	US002-3-25	inv	mat fx	cut	8	5	NA	NA	10/18/2010	3	25	14	16	3.5	12	0	0	42	0	0	n	NA	NA	NA	NA	0.9	NA	2010-10-18	83				NA	NA	46.1822666666667	-118.82615	0
20	US002	US002-3-6	inv	mat fx	cut	8	45	NA	NA	10/18/2010	3	6	12	17.8	4.3	15	0	0	22	0	0	y	1	19.5	19.5	NA	0.6	NA	2010-10-18	83	10/8/2010			73	NA	46.1822666666667	-118.82615	1
21	US002	US002-5-2	inv	mat fx	cut	8	49	0.112	16.726	10/18/2010	5	2	25	16.7	5.1	24	16.8	4.6	22	20.6	3.2	n	NA	NA	NA	NA	1.2	4.077	2010-10-18	83				NA	NA	46.1822666666667	-118.82615	0
22	US003	US003-11-1	inv	mat fx	cut	8	3	NA	NA	NA	11	1	14	23.6	6.5	7	0	0	28	0	0	n	NA	NA	NA	NA	1	NA	2010-10-18	83				NA	NA	46.60415	-116.64175	0
23	US003	US003-16-14	inv	mat fx	cut	8	29	NA	NA	10/18/2010	16	14	12	21	5.3	13	0	0	39	0	0	n	NA	NA	NA	NA	0.8	NA	2010-10-18	83				NA	NA	46.60415	-116.64175	0
24	US003	US003-16-2	inv	mat fx	cut	8	20	NA	NA	10/18/2010	16	2	27	18.7	4.9	34	0	0	90	0	0	n	NA	NA	NA	NA	28	NA	2010-10-18	83				NA	NA	46.60415	-116.64175	0
