PopID	Barcode	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount1	LfLgth1	LfWdth1	comments	Yellow	Death	Float	DeathDay	YellowDay	FloatDay	Latitude	Longitude
1	BG001	BG001-10-2	10	2	nat	mat fx	flood	10	10	11	17.7	4.2		8/3/2010	8/9/2010	8/7/2010	13	7	11	43.3819444444444	28.4575
2	BG001	BG001-10-3	10	3	nat	mat fx	flood	10	50	13	17.1	3.5		8/3/2010	8/9/2010		13	7	NA	43.3819444444444	28.4575
3	BG001	BG001-9-2	9	2	nat	mat fx	flood	10	32	13	22.6	3.6		8/1/2010	8/9/2010	8/7/2010	13	5	11	43.3819444444444	28.4575
4	CA001	CA001-12-4	12	4	inv	mat fx	flood	10	38	11	15.2	3.4		8/2/2010	8/9/2010		13	6	NA	49.0149388888889	-122.882097222222
5	CA001	CA001-5-1	5	1	inv	mat fx	flood	10	7	15	19.1	5		8/1/2010	8/9/2010		13	5	NA	49.0149388888889	-122.882097222222
6	CA001	CA001-8-11	8	11	inv	mat fx	flood	10	34	16	22.4	4.5		8/1/2010	8/13/2010	8/11/2010	17	5	15	49.0149388888889	-122.882097222222
7	GR002	GR002-8-1	8	1	nat	mat fx	flood	10	36	14	16.2	3.1		8/3/2010	8/7/2010	8/7/2010	11	7	11	40.6213888888889	23.0786111111111
8	GR002	GR002-9-5	9	5	nat	mat fx	flood	10	29	12	17.9	4.2		8/2/2010	8/9/2010		13	6	NA	40.6213888888889	23.0786111111111
9	GR002	GR002-9-9	9	9	nat	mat fx	flood	10	43	14	18.8	3.1		8/2/2010	8/9/2010		13	6	NA	40.6213888888889	23.0786111111111
10	RU008	RU008-5-4	5	4	nat	mat fx	flood	10	16	21	14.6	4.5		8/3/2010	8/13/2010	8/11/2010	17	7	15	44.05	43.06000278
11	RU008	RU008-5-5	5	5	nat	mat fx	flood	10	40	26	14.9	3.9		8/1/2010	8/9/2010		13	5	NA	44.05	43.06000278
12	RU008	RU008-8-5	8	5	nat	mat fx	flood	10	9	16	19.7	3.9		8/1/2010	8/13/2010	8/7/2010	17	5	11	44.05	43.06000278
13	TR001	TR001-8-1	8	1	nat	mat fx	flood	10	18	12	16.3	3.7		8/2/2010	8/9/2010		13	6	NA	41.7511111111111	27.2477777777778
14	TR001	TR001-9-10	9	10	nat	mat fx	flood	10	45	18	16	4.1		8/2/2010	8/9/2010		13	6	NA	41.7511111111111	27.2477777777778
15	TR001	TR001-9-15	9	15	nat	mat fx	flood	10	23	12	17.1	3.9		8/7/2010	8/9/2010	8/7/2010	13	11	11	41.7511111111111	27.2477777777778
16	US001	US001-11-1	11	1	inv	mat fx	flood	10	5	17	15.8	3.7		8/1/2010	8/9/2010	8/7/2010	13	5	11	45.6152333333333	-120.787533333333
17	US001	US001-12-1	12	1	inv	mat fx	flood	10	20	7	12.9	2		8/5/2010	8/7/2010	8/5/2010	11	9	9	45.6152333333333	-120.787533333333
18	US001	US001-4-3	4	3	inv	mat fx	flood	10	25	12	21.5	3.9		8/1/2010	8/9/2010	8/7/2010	13	5	11	45.6152333333333	-120.787533333333
19	US002	US002-1-2	1	2	inv	mat fx	flood	10	41	15	19.5	3.7	YELLOWING	8/1/2010	8/11/2010	8/11/2010	15	5	15	46.1822666666667	-118.82615
20	US002	US002-3-22	3	22	inv	mat fx	flood	10	49	12	22.5	5.2		8/1/2010	8/9/2010	8/7/2010	13	5	11	46.1822666666667	-118.82615
21	US002	US002-6-1	6	1	inv	mat fx	flood	10	3	15	14	3.9		8/2/2010	8/13/2010		17	6	NA	46.1822666666667	-118.82615
22	US003	US003-11-2	11	2	inv	mat fx	flood	10	27	12	21.7	3.4		8/5/2010	8/9/2010	8/9/2010	13	9	13	46.60415	-116.64175
23	US003	US003-15-2	15	2	inv	mat fx	flood	10	12	30	18.6	5.4		8/1/2010	8/9/2010		13	5	NA	46.60415	-116.64175
24	US003	US003-4-3	4	3	inv	mat fx	flood	10	1	14	20	4.8		8/3/2010	8/9/2010		13	7	NA	46.60415	-116.64175
