PopID	Mom	Origin	Latitude	Longitude	Cross_MomID	GermAvgDate	GermCount	GermPercent	CollYear	SeedAgeYrs	SeedCount	Rack	Pos	Indiv	Trt	ID_barcode	LfCountH	BoltedatH	ShootMass.g	LfCount1	BoltDay.adj	lxwH	bolt.bin	pop_momfam	Exp	MomFam	CrossNum	MomIndiv	DadID	DadFam	DadIndiv	Generation
1	BG001	16	nat	43.3819444444444	28.4575	BG001.16	3.07	14	93	2008	1	15	24	43	j	cont	BG001.16.j	11	n	1.918	11	NA	113.82	0	BG001_16	st	16	NA	NA	NA	NA	NA	0
2	BG001	16	nat	43.3819444444444	28.4575	BG001.16	3.07	14	93	2008	1	15	5	40	f	cont	BG001.16.f	21	n	3.474	10	NA	133.56	0	BG001_16	st	16	NA	NA	NA	NA	NA	0
3	BG001	16	nat	43.3819444444444	28.4575	BG001.16	3.07	14	93	2008	1	15	12	11	b	cont	BG001.16.b	16	n	2.944	13	NA	112.36	0	BG001_16	st	16	NA	NA	NA	NA	NA	0
4	BG001	17	nat	43.3819444444444	28.4575	BG001.17	3	15	88	2008	1	17	18	23	d	cont	BG001.17.d	17	n	1.658	12	NA	65.34	0	BG001_17	st	17	NA	NA	NA	NA	NA	0
5	BG001	17	nat	43.3819444444444	28.4575	BG001.17	3	15	88	2008	1	17	29	31	f	cont	BG001.17.f	14	y	3.609	13	88	137.7	1	BG001_17	st	17	NA	NA	NA	NA	NA	0
6	BG001	17	nat	43.3819444444444	28.4575	BG001.17	3	15	88	2008	1	17	34	39	e	cont	BG001.17.e	12	n	2.329	10	NA	161.2	0	BG001_17	st	17	NA	NA	NA	NA	NA	0
7	BG001	22	nat	43.3819444444444	28.4575	BG001.22	3.2	15	100	2008	1	15	7	29	h	cont	BG001.22.h	15	n	2.679	13	NA	136.62	0	BG001_22	st	22	NA	NA	NA	NA	NA	0
8	BG001	22	nat	43.3819444444444	28.4575	BG001.22	3.2	15	100	2008	1	15	44	4	b	cont	BG001.22.b	11	y	2.972	14	72	121.39	1	BG001_22	st	22	NA	NA	NA	NA	NA	0
9	BG001	22	nat	43.3819444444444	28.4575	BG001.22	3.2	15	100	2008	1	15	30	25	f	cont	BG001.22.f	24	y	3.184	17	89	162.45	1	BG001_22	st	22	NA	NA	NA	NA	NA	0
10	BG001	25	nat	43.3819444444444	28.4575	BG001.25	3	14	93	2008	1	15	40	10	b	cont	BG001.25.b	0	y	1.98	11	72	NA	1	BG001_25	st	25	NA	NA	NA	NA	NA	0
11	BG001	25	nat	43.3819444444444	28.4575	BG001.25	3	14	93	2008	1	15	6	36	a	cont	BG001.25.a	0	y	1.872	12	72	NA	1	BG001_25	st	25	NA	NA	NA	NA	NA	0
12	BG001	29	nat	43.3819444444444	28.4575	BG001.29	3.07	14	93	2008	1	15	9	35	d	cont	BG001.29.d	41	y	2.591	12	88	211.2	1	BG001_29	st	29	NA	NA	NA	NA	NA	0
13	BG001	29	nat	43.3819444444444	28.4575	BG001.29	3.07	14	93	2008	1	15	25	47	e	cont	BG001.29.e	1	y	2.369	11	72	56.1	1	BG001_29	st	29	NA	NA	NA	NA	NA	0
14	CA001	2	inv	49.0149388888889	-122.882097222222	CA001.2	3.14	14	93	2008	1	15	7	6	a	cont	CA001.2.a	10	n	4.148	12	NA	164.02	0	CA001_2	st	2	NA	NA	NA	NA	NA	0
15	CA001	2	inv	49.0149388888889	-122.882097222222	CA001.2	3.14	14	93	2008	1	15	18	10	b	cont	CA001.2.b	27	n	4.212	12	NA	117.04	0	CA001_2	st	2	NA	NA	NA	NA	NA	0
16	CA001	2	inv	49.0149388888889	-122.882097222222	CA001.2	3.14	14	93	2008	1	15	44	9	i	cont	CA001.2.i	14	n	3.987	10	NA	146.16	0	CA001_2	st	2	NA	NA	NA	NA	NA	0
17	CA001	3	inv	49.0149388888889	-122.882097222222	CA001.3	3.33	15	100	2008	1	15	5	6	g	cont	CA001.3.g	12	y	3.867	11	88	168.6	1	CA001_3	st	3	NA	NA	NA	NA	NA	0
18	CA001	4	inv	49.0149388888889	-122.882097222222	CA001.4	3.33	15	100	2008	1	15	29	19	a	cont	CA001.4.a	32	n	3.988	12	NA	140.25	0	CA001_4	st	4	NA	NA	NA	NA	NA	0
19	CA001	4	inv	49.0149388888889	-122.882097222222	CA001.4	3.33	15	100	2008	1	15	30	45	g	cont	CA001.4.g	9	n	2.456	10	NA	263.2	0	CA001_4	st	4	NA	NA	NA	NA	NA	0
20	CA001	4	inv	49.0149388888889	-122.882097222222	CA001.4	3.33	15	100	2008	1	15	9	28	f	cont	CA001.4.f	27	n	5.299	14	NA	141.12	0	CA001_4	st	4	NA	NA	NA	NA	NA	0
21	CA001	7	inv	49.0149388888889	-122.882097222222	CA001.7	3.43	14	93	2008	1	15	25	26	d	cont	CA001.7.d	18	n	4.249	12	NA	179.8	0	CA001_7	st	7	NA	NA	NA	NA	NA	0
22	CA001	7	inv	49.0149388888889	-122.882097222222	CA001.7	3.43	14	93	2008	1	15	40	29	h	cont	CA001.7.h	28	n	5.503	14	NA	106.82	0	CA001_7	st	7	NA	NA	NA	NA	NA	0
23	CA001	7	inv	49.0149388888889	-122.882097222222	CA001.7	3.43	14	93	2008	1	15	12	32	i	cont	CA001.7.i	19	n	4.127	13	NA	152.32	0	CA001_7	st	7	NA	NA	NA	NA	NA	0
24	GR002	13	nat	40.6213888888889	23.0786111111111	GR002.13	3.87	15	100	2008	1	15	34	36	b	cont	GR002.13.b	7	y	3.978	7	72	166.95	1	GR002_13	st	13	NA	NA	NA	NA	NA	0
25	GR002	13	nat	40.6213888888889	23.0786111111111	GR002.13	3.87	15	100	2008	1	15	29	35	a	cont	GR002.13.a	0	y	3.339	9	72	NA	1	GR002_13	st	13	NA	NA	NA	NA	NA	0
26	GR002	13	nat	40.6213888888889	23.0786111111111	GR002.13	3.87	15	100	2008	1	15	40	19	f	cont	GR002.13.f	0	y	1.682	8	72	NA	1	GR002_13	st	13	NA	NA	NA	NA	NA	0
27	GR002	25	nat	40.6213888888889	23.0786111111111	GR002.25	3.23	13	87	2008	1	15	24	29	d	cont	GR002.25.d	17	n	3.527	10	NA	155.65	0	GR002_25	st	25	NA	NA	NA	NA	NA	0
28	GR002	25	nat	40.6213888888889	23.0786111111111	GR002.25	3.23	13	87	2008	1	15	5	19	i	cont	GR002.25.i	19	n	2.839	12	NA	144.72	0	GR002_25	st	25	NA	NA	NA	NA	NA	0
29	RU008	16	nat	44.05	43.06000278	RU008.16	3.33	15	100	2006	3	15	25	23	a	cont	RU008.16.a	20	n	4.128	NA	NA	154.8	0	RU008_16	st	16	NA	NA	NA	NA	NA	0
30	RU008	16	nat	44.05	43.06000278	RU008.16	3.33	15	100	2006	3	15	5	22	f	cont	RU008.16.f	15	y	4.09	15	88	164.45	1	RU008_16	st	16	NA	NA	NA	NA	NA	0
31	RU008	16	nat	44.05	43.06000278	RU008.16	3.33	15	100	2006	3	15	29	12	b	cont	RU008.16.b	0	y	6.048	15	41	NA	1	RU008_16	st	16	NA	NA	NA	NA	NA	0
32	RU008	17	nat	44.05	43.06000278	RU008.17	3.36	14	93	2006	3	15	9	36	c	cont	RU008.17.c	17	n	3.068	10	NA	145.6	0	RU008_17	st	17	NA	NA	NA	NA	NA	0
33	RU008	21	nat	44.05	43.06000278	RU008.21	3.29	14	93	2006	3	15	34	4	e	cont	RU008.21.e	14	n	3.249	10	NA	252.72	0	RU008_21	st	21	NA	NA	NA	NA	NA	0
34	RU008	21	nat	44.05	43.06000278	RU008.21	3.29	14	93	2006	3	15	30	27	g	cont	RU008.21.g	23	n	3.687	14	NA	138.46	0	RU008_21	st	21	NA	NA	NA	NA	NA	0
35	TR001	1	nat	41.7511111111111	27.2477777777778	TR001.1	3.36	11	73	2008	1	15	12	7	d	cont	TR001.1.d	14	y	3.634	11	89	202.21	1	TR001_1	st	1	NA	NA	NA	NA	NA	0
36	TR001	10	nat	41.7511111111111	27.2477777777778	TR001.10	3	14	93	2008	1	15	30	46	b	cont	TR001.10.b	11	y	1.735	10	89	130.66	1	TR001_10	st	10	NA	NA	NA	NA	NA	0
