PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Note	BoltDate	BoltMsrDate	BCount1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	lxwH	lxwH.log	Latitude	Longitude	bolt.bin
1	BG001	7	29	22	h	nat	cont	BG001.22.h	86	15	29.7	4.6	n	86	7.76	2.679	1.026	17	22.5	4.9	n	NA	13	12.5	2.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.52572864430826	0.955511445027436	4.12310562561766	3.11351530921037	1.58923520511658	3.87298334620742	3.39114704580865	1.52605630349505	2.04898233419513	0.985443590562472	0.0256677467485778	136.62	4.9172033493037	43.3819444444444	28.4575	0
2	BG001	44	4	22	b	nat	cont	BG001.22.b	84	11	19.9	6.1	y	84	9.36	2.972	1.086	30	21.4	4.1	y	NA	14	10.4	3.7		69	NA	NA	NA	NA	NA	NA	69	1	13.5		NA			3.74165738677394	2.34180580614733	1.30833281965018	5.47722557505166	3.06339092202781	1.41098697371026	3.3166247903554	2.99071973173045	1.80828877117927	2.2364452904895	1.08923512685551	0.0825012215117438	121.39	4.79900850290971	43.3819444444444	28.4575	1
3	BG001	5	40	16	f	nat	cont	BG001.16.f	85	21	31.8	4.2	n	86	8.48	3.474	1.388	18	24.4	3.9	y	NA	10	13.2	2.7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.58021682959233	0.993251773010283	4.24264068711928	3.19458313229916	1.3609765531356	4.58257569495584	3.45946628978613	1.43508452528932	2.13771044980381	1.24530666781891	0.327863862084613	133.56	4.89455081507545	43.3819444444444	28.4575	0
4	BG001	12	11	16	b	nat	cont	BG001.16.b	86	16	21.2	5.3	n	85	7.14	2.944	1.373	15	19.6	4.1	y	NA	13	9	3.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.19722457733622	1.1314021114911	3.87298334620742	2.97552956623647	1.41098697371026	4	3.05400118167797	1.66770682055808	1.96571277635149	1.07976920086663	0.316998126785834	112.36	4.72170800223604	43.3819444444444	28.4575	0
5	BG001	18	23	17	d	nat	cont	BG001.17.d	85	17	19.8	3.3	n	85	6.26	1.658	2.325	22	14.9	3	y	NA	12	9.5	2.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.2512917986065	0.8754687373539	4.69041575982343	2.70136121295141	1.09861228866811	4.12310562561766	2.98568193770049	1.19392246847243	1.83418018511201	0.505612056713103	0.84372003903932	65.34	4.17960440617292	43.3819444444444	28.4575	0
6	BG001	24	43	16	j	nat	cont	BG001.16.j	85	11	27.1	4.2	n	85	7.09	1.918	1.705	17	18	3.2	n	NA	11	14.1	3.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.64617479738412	1.3609765531356	4.12310562561766	2.89037175789616	1.16315080980568	3.3166247903554	3.29953372788566	1.43508452528932	1.95868534054404	0.651282976461246	0.53356511073548	113.82	4.73461825317498	43.3819444444444	28.4575	0
7	BG001	6	36	25	a	nat	cont	BG001.25.a	86	0	NA	NA	y	86	7.58	1.872	0.433	18	15.2	3.8	y	NA	12	13.6	3.7		69	NA	NA	NA	NA	NA	NA	69	1	16		NA			3.46410161513775	2.61006979274201	1.30833281965018	4.24264068711928	2.72129542785223	1.33500106673234	0	NA	NA	2.02551319965428	0.6270073780554	-0.837017550979647	NA	NA	43.3819444444444	28.4575	1
8	BG001	30	25	22	f	nat	cont	BG001.22.f	86	24	28.5	5.7	y	86	8.42	3.184	1.291	28	22.7	3.4	y	NA	17	13.2	2.8		86	NA	NA	NA	NA	NA	NA	86	NA	3.5		NA			4.12310562561766	2.58021682959233	1.02961941718116	5.29150262212918	3.12236492448736	1.22377543162212	4.89897948556636	3.3499040872746	1.7404661748405	2.13060982825424	1.15813826798214	0.255417111864505	162.45	5.09037026211511	43.3819444444444	28.4575	1
9	BG001	34	39	17	e	nat	cont	BG001.17.e	84	12	31	5.2	n	84	7.4	2.329	0.93	16	23.8	4.7	y	NA	10	13	4.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.56494935746154	1.50407739677627	4	3.16968558067743	1.54756250871601	3.46410161513775	3.43398720448515	1.64865862558738	2.00148000021012	0.845438990902204	-0.0725706928348354	161.2	5.08264583007253	43.3819444444444	28.4575	0
10	BG001	40	10	25	b	nat	cont	BG001.25.b	84	0	NA	NA	y	84	5.91	1.98	0.943	NA	NA	NA	NA	NA	11	14	5.5		69	NA	NA	NA	NA	NA	NA	69	1	16.5		NA			3.3166247903554	2.63905732961526	1.70474809223843	NA	NA	NA	0	NA	NA	1.77664583141801	0.683096844706444	-0.0586889963486796	NA	NA	43.3819444444444	28.4575	1
