PopID	MomID	Mom	Origin	SeedWt	GermAvgDate	GermCount	GermPercent	CollYear	SeedAgeYrs	ComboSeedWt	SeedCount	Sdwt.log	GermPerc.arsq	Latitude	Longitude	AvgGermDate.log
1	BG001	BG001.22	22	nat	1.294666667	3.2	15	100	2008	1	19.42	15	0.258253262018435	89.9987755437136	43.3819444444444	28.4575	1.16315080980568
2	BG001	BG001.17	17	nat	1.088588235	3	15	88	2008	1	18.506	17	0.0848816595004398	69.7311502342649	43.3819444444444	28.4575	1.09861228866811
3	BG001	BG001.29	29	nat	1.258466667	3.07	14	93	2008	1	18.877	15	0.229894048949259	74.6572757142422	43.3819444444444	28.4575	1.12167756159911
4	BG001	BG001.16	16	nat	0.823333333	3.07	14	93	2008	1	12.35	15	-0.194394138433082	74.6572757142422	43.3819444444444	28.4575	1.12167756159911
5	BG001	BG001.25	25	nat	0.794266667	3	14	93	2008	1	11.914	15	-0.23033602147604	74.6572757142422	43.3819444444444	28.4575	1.09861228866811
6	CA001	CA001.2	2	inv	1.375933333	3.14	14	93	2008	1	20.639	15	0.319132288482769	74.6572757142422	49.0149388888889	-122.882097222222	1.14422279992016
7	CA001	CA001.4	4	inv	1.644933333	3.33	15	100	2008	1	24.674	15	0.49769985634442	89.9987755437136	49.0149388888889	-122.882097222222	1.20297230399235
8	CA001	CA001.6	6	inv	1.463133333	4.29	14	93	2008	1	21.947	15	0.38058025459069	74.6572757142422	49.0149388888889	-122.882097222222	1.45628673293993
9	CA001	CA001.7	7	inv	1.452066667	3.43	14	93	2008	1	21.781	15	0.372987829260439	74.6572757142422	49.0149388888889	-122.882097222222	1.23256026117785
10	CA001	CA001.3	3	inv	1.2098	3.33	15	100	2008	1	18.147	15	0.190455056690677	89.9987755437136	49.0149388888889	-122.882097222222	1.20297230399235
11	CA007	CA007.3	3	inv	2.300333333	3.33	3	100	2008	1	6.901	3	0.833054039825449	89.9987755437136	49.2961027777778	-118.473830555556	1.20297230399235
12	CA007	CA007.6	6	inv	0.85825	NA	0	0	2008	1	3.433	4	-0.152859846644336	0	49.2961027777778	-118.473830555556	NA
13	CA007	CA007.1	1	inv	0.925333333	3	1	33	2008	1	2.776	3	-0.0776012463837822	35.0610859499474	49.2961027777778	-118.473830555556	1.09861228866811
14	CA007	CA007.2	2	inv	1.146666667	3	5	83	2008	1	6.88	6	0.136859183007895	65.6490432238827	49.2961027777778	-118.473830555556	1.09861228866811
15	CA007	CA007.4	4	inv	1.1215	3	3	75	2008	1	4.486	4	0.114667074978126	59.9991836958091	49.2961027777778	-118.473830555556	1.09861228866811
16	CA007	CA007.5	5	inv	0.985857143	3	1	14	2008	1	6.901	7	-0.0142438202719419	21.9724608402228	49.2961027777778	-118.473830555556	1.09861228866811
17	CA008	CA008.4	4	inv	1.062	3.36	14	93	2008	1	15.93	15	0.0601539228197471	74.6572757142422	49.0120833333333	-118.645711111111	1.21194097397511
18	CA008	CA008.5	5	inv	1.703133333	3.86	14	93	2008	1	25.547	15	0.532469691628145	74.6572757142422	49.0120833333333	-118.645711111111	1.35066718347674
19	CA008	CA008.6	6	inv	0.7944	4.33	9	60	2008	1	11.916	15	-0.230168166251174	50.7677888076978	49.0120833333333	-118.645711111111	1.4655675420144
20	CA008	CA008.2	2	inv	0.872444444	3.67	6	67	2008	1	7.852	9	-0.136456301431429	54.9376895937662	49.0120833333333	-118.645711111111	1.30019166206648
21	CA008	CA008.1	1	inv	0.800714286	6	2	29	2008	1	5.605	7	-0.222251092174366	32.5822629651547	49.0120833333333	-118.645711111111	1.79175946922805
22	GR001	GR001.26	26	nat	0.778733333	3.93	15	100	2008	1	11.681	15	-0.250086611356696	89.9987755437136	40.1566666666667	22.5480555555556	1.36863942588117
23	GR001	GR001.28	28	nat	0.849266667	3.07	14	93	2008	1	12.739	15	-0.163382046582065	74.6572757142422	40.1566666666667	22.5480555555556	1.12167756159911
24	GR001	GR001.14	14	nat	1.006133333	3.27	15	100	2008	1	15.092	15	0.00611460066855257	89.9987755437136	40.1566666666667	22.5480555555556	1.18478998490916
25	GR001	GR001.24	24	nat	0.780933333	4	7	47	2008	1	11.714	15	-0.247265493861459	43.2795047875457	40.1566666666667	22.5480555555556	1.38629436111989
26	GR001	GR001.6	6	nat	0.7006	4.86	7	47	2008	1	10.509	15	-0.355818168218751	43.2795047875457	40.1566666666667	22.5480555555556	1.5810384379124
27	GR002	GR002.17	17	nat	0.895666667	3.17	6	40	2008	1	13.435	15	-0.110186958662593	39.2309867360158	40.6213888888889	23.0786111111111	1.15373158788919
