PopID,Origin,Mom,seednum
US001,inv,10,8
US001,inv,12,3
US001,inv,11,1
US001,inv,2,5
US001,inv,1,1
US001,inv,5,3
US001,inv,3,1
US001,inv,4,10
US001,inv,8,3
US001,inv,9,7
US001,inv,6,6
US001,inv,7,14
US002,inv,1,1
US002,inv,3,31
US002,inv,2,3
US002,inv,4,1
US002,inv,5,12
US002,inv,6,5
US003,inv,2,2
US003,inv,16,11
US003,inv,15,5
US003,inv,18,1
US003,inv,17,3
US003,inv,5,9
US003,inv,6,3
US003,inv,3,22
US003,inv,4,4
US003,inv,8,7
US003,inv,9,15
US003,inv,1,1
US003,inv,7,14
US003,inv,13,9
US003,inv,10,2
US003,inv,11,17
US003,inv,12,6
US003,inv,14,10
CA001,inv,8,24
CA001,inv,7,12
CA001,inv,9,33
CA001,inv,6,2
CA001,inv,3,17
CA001,inv,4,13
CA001,inv,5,24
CA001,inv,2,7
CA001,inv,11,14
CA001,inv,13,3
CA001,inv,12,19
CA001,inv,10,7
CA001,inv,16,10
CA001,inv,15,8
CA001,inv,1,4
CA001,inv,14,1
CA001,inv,19,3
CA001,inv,18,2
CA001,inv,17,11
CA001,inv,20,13
BG001,nat,3,2
BG001,nat,4,1
BG001,nat,5,6
BG001,nat,7,3
BG001,nat,6,6
BG001,nat,8,8
BG001,nat,10,3
BG001,nat,9,12
BG001,nat,11,3
BG001,nat,13,2
BG001,nat,14,3
BG001,nat,12,4
BG001,nat,1,2
BG001,nat,2,1
GR002,nat,6,2
GR002,nat,5,1
GR002,nat,4,1
GR002,nat,10,4
GR002,nat,3,3
GR002,nat,7,1
GR002,nat,9,9
GR002,nat,8,2
GR002,nat,1,3
GR002,nat,2,1
TR001,nat,8,1
TR001,nat,7,1
TR001,nat,5,2
TR001,nat,6,7
TR001,nat,2,2
TR001,nat,3,3
TR001,nat,1,2
TR001,nat,4,3
TR001,nat,10,5
TR001,nat,9,30
RU008,nat,2,2
RU008,nat,4,1
RU008,nat,3,1
RU008,nat,1,2
RU008,nat,9,5
RU008,nat,10,1
RU008,nat,8,7
RU008,nat,6,1
RU008,nat,7,1
RU008,nat,5,11
RU008,nat,11,2
BG001,nat,15,2
BG001,nat,16,2
BG001,nat,17,10
BG001,nat,18,7
